31a95b53e1  tft9_augment_armorclademblem2_name
74a9bb190d buff_6656root_tooltip
6c247280e8 buff_6656slow_name
8fd76f93fd buff_6656slow_tooltip
a4f55b0756 buff_6664speed_tooltip
36f5fca96f buff_6672buff_name
d38305fcad buff_6672buff_tooltip
a7308b2779 buff_6673buff_name
b5caf717bc buff_6673buff_tooltip
d1608024aa buff_6673shield_name
a4fd2e6fd0 buff_6673shield_tooltip
11f8d3b590 buff_6691stealth_name
556a3101bd buff_6691stealth_tooltip
cdafbd4e32 buff_6692shield_name
3caa507860 buff_6692shield_tooltip
ab8a3550f9 buff_6692speed_name
bf9d4bf64a buff_6692speed_tooltip
63dcc4ceda buff_6693amp_name
b4df5cff1e buff_6693amp_tooltip
cdc5a6f961 buff_aatroxe_tooltip
82948c86ff buff_aatroxpassivedebuff_tooltip
aa3d41948a buff_aatroxpassiveready_tooltip
bff459d7f9 buff_aatroxr_tooltip
b1045a0d68 buff_aatroxrrevive_tooltip
b5e5976b30 buff_aatroxw_tooltip
e318cf45cf buff_aatroxwslow_tooltip
4436e8ca39 buff_abyssal_scepter_tooltip
7d8bc588b5 buff_ahrip_name
7896e10cd0 buff_ahrip_summary
5ee34c506e buff_ahrip_tooltip
e55cbf1f58 buff_ahrip_tooltipsimple
830dae97af buff_akalie_name
3ed5818437 buff_akalie_tooltip
ff5f44e266 buff_akalip_name
9b4b105ee4 buff_akalip_tooltip
93e209f93c buff_akalipweapon_name
7e017aa238 buff_akalipweapon_tooltip
49e2eba227 buff_akaliw_name
40f2f833a0 buff_akaliw_tooltip
86931c61aa buff_akaliwhaste_tooltip
416759ae10 buff_akshane_tooltip
1647576fc0 buff_akshanpassivedebuff_tooltip
6348bdf5c1 buff_akshanpassiveshield_name
4e952fd0ce buff_akshanpassiveshield_tooltip
60179976bb buff_akshanr_tooltip
663cbb308d buff_akshanw_tooltip
31781c7b58 buff_akshanwhuntmark_name
189ee889b0 buff_akshanwhuntmark_tooltip
a7916eb35f buff_amumupdebuff_tooltip
66b04cddfc buff_aphelioscrescendumq_turretmaster
fe2fcf52c5 buff_apheliosseverumcountup_tooltip
3b49d841c9 buff_ashespiritofthehawkability_tooltip
75a396c4d5 buff_belvethe_tooltip
65ad9f01fa buff_belvethr_tooltip
158b51b33c buff_braummark_tooltip
a3453eb8da buff_braummarkstunreduction_name
0bf0bc2c6d buff_braummarkstunreduction_tooltip
f9ebffc28a buff_braumstundebuff_tooltip
c81f85024c buff_buffmeplz_damagedealtmodified_0
1cc58ad827 buff_buffmeplz_damagedealtmodified_1
d9d06e49ed buff_buffmeplz_damagetakenmodified_0
525d468115 buff_buffmeplz_damagetakenmodified_1
767d08900c buff_buffmeplz_shieldmodified_0
e6bdeefb24 buff_buffmeplz_shieldmodified_1
0da1b55ace buff_dariusp_name
1f3be2c156 buff_dariusp_tooltip
b220ea9373 buff_dariusp_tooltipsimple
7b979f54ff buff_desc_%1
06a007e1d2 buff_desc_2065combatbuff
27127284f9 buff_desc_2065movespeed
18c4890594 buff_desc_3011buff
6e2f9d815b buff_desc_3040apbuff
460e897b25 buff_desc_3071blackcleaverspeedbuff
35dde6a361 buff_desc_3072bonusstats
25aca8f9f1 buff_desc_3095_slow
3968dde2a8 buff_desc_3095buff
6cfb1842e6 buff_desc_3116slow
787cc3ca0e buff_desc_3156mawdamagebuff
6baa9a124b buff_desc_3190aura
df74b26e00 buff_desc_3190diminisheddebuff
ae0c144ae4 buff_desc_3190shield
50dc777386 buff_desc_3504buff
e04de9b791 buff_desc_3508buff
be4f3a83ef buff_desc_4627burn
3718aff3d3 buff_desc_4628marker
04c1c587ce buff_desc_4629movespeed
62a22bebd4 buff_desc_6616buff
ae138a1bf2 buff_desc_6617stackcounter
7812411175 buff_desc_6632
370c7982aa buff_desc_6665resistbuff
980ba0bd51 buff_desc_8008_active
1b905fced3 buff_desc_8008_active3
e1e28294c9 buff_desc_8008_leadin
67707747df buff_desc_8015brush
beae7e20cf buff_desc_8015cooldown
1ec4b174c7 buff_desc_8015river
369b82188c buff_desc_8015tower
614294b37b buff_desc_8020debuff
32508222b6 buff_desc_8112cooldown
4ab5c34e58 buff_desc_8112ready
3aa9887178 buff_desc_8124_active
7ae83e2753 buff_desc_8124_almost
54f2a8c581 buff_desc_8124_counter
80ccab8ca6 buff_desc_8128_soul_counter
abf773e565 buff_desc_8128haste
eb2478a021 buff_desc_8128onh
a2382f3d9e buff_desc_8224
4a63aa9a55 buff_desc_8225
8b5d714d88 buff_desc_8229_cooldown
bff2b1fadb buff_desc_8229_ready
2865420e4e buff_desc_8230_buff
c0bd43ca2d buff_desc_8230_cooldown
18405dbcfe buff_desc_8230_ready
af8b82286c buff_desc_8436cooldown
544a49a9db buff_desc_8436ready
1a9e0cdcd3 buff_desc_8436shield
77f98cd0d2 buff_desc_8436willshieldally
556bac59cc buff_desc_8437
4d3501e7f4 buff_desc_8437counter
2ce5d1d396 buff_desc_8458cooldown
d6b7429cc4 buff_desc_8458damagereduction
ad10e2c525 buff_desc_8458ready
804196017e buff_desc_8458resists
aaf095be77 buff_desc_aftershock_debuff
76c7ed9d67 buff_desc_akaliwenergyrestore
d5436ead3e buff_desc_annieespeedbuff
2f6c5a68fb buff_desc_aphelioscalibrumbonusrangebuff
3af66d556a buff_desc_aphelioscalibrumbonusrangedebuff
243dd10b38 buff_desc_aphelioscalibrummanager
280b208af5 buff_desc_aphelioscrescendummanager
895779c057 buff_desc_aphelioscrescendumorbitmanager
bbf95a8557 buff_desc_apheliosgravitumdebuff
0d64a36cfd buff_desc_apheliosgravitummanager
3c310d19f0 buff_desc_apheliosgravitumroot
a38b584f51 buff_desc_apheliosinfernummanager
2c41ec37c2 buff_desc_apheliosoffhandbuffcalibrum
7d41ae0288 buff_desc_apheliosoffhandbuffcrescendum
9dcb532ee7 buff_desc_apheliosoffhandbuffgravitum
510687946c buff_desc_apheliosoffhandbuffinfernum
e0cc39eae2 buff_desc_apheliosoffhandbuffseverum
cf6076dea3 buff_desc_apheliospreload
d90958a0c2 buff_desc_apheliosseverummanager
21f2a9e421 buff_desc_apheliosseverumq
0445548796 buff_desc_aurelionsolwhaste
25a64b74b0 buff_desc_bansheesveiltimer
aea7902c4a buff_desc_boneplatingblocking
026615dbf7 buff_desc_boneplatingcd
0c4bfba6f9 buff_desc_coindeathreduction
861dc0447c buff_desc_coinquestdisplay
9935b1351b buff_desc_coinquestdisplaytt
5c2d2f4e52 buff_desc_conqueror_enrage
9264bc061b buff_desc_conqueror_onh
8957fef611 buff_desc_conqueror_stacking
dbd18dc5f4 buff_desc_darkharvestcooldown
48b1ad931a buff_desc_darkharvestsoulmarked
1f7cac1e2d buff_desc_deceiveresistshred
2ac4992f3a buff_desc_dianavortex
7868e18215 buff_desc_elderdragonhealthbartickmanager
866843e948 buff_desc_eyeballcollection
d1b10dda7b buff_desc_fiddlestickspassiveanimationfreeze
4710a5375d buff_desc_firststrike
5b502ac4ec buff_desc_fleetfootwork
8fa2fb6215 buff_desc_frostqueenspeedup
d614f0bc54 buff_desc_frostqueensshred
eeb3c773b9 buff_desc_frostqueentributedisplay
2f05bd56d7 buff_desc_frostquestdisplay
509b01bd53 buff_desc_frostquestdisplaytt
e40b756875 buff_desc_ghostporocd
fe41739064 buff_desc_ghostporogainingstats
bab156db63 buff_desc_glacialaugment
da122255db buff_desc_glacialaugmentcooldown
ba370cfc9b buff_desc_glacialaugmentslow
185bfee3ea buff_desc_globalwallpush
d2856e58e6 buff_desc_graspoftheundyingself
d9055ba566 buff_desc_guardian
8dc0520b9b buff_desc_guardian_ally
720eb62235 buff_desc_guardian_available
3963f36765 buff_desc_guardian_cd
7e80db6b19 buff_desc_guardianssoulcancast
452c66c456 buff_desc_guardianssoulguardcooldown
e18a991dc2 buff_desc_guardianssoulguarded
23da5b6891 buff_desc_gweneattackbuff
dc9b64060b buff_desc_gwenqstacker
232203fc74 buff_desc_gwenrdebuff
de79d4549d buff_desc_gwenrrecast
fd3a4cec70 buff_desc_gwenw
ef613aa49a buff_desc_hailofblades
be9cac31fd buff_desc_hailofblades_activated
de24917700 buff_desc_hailofblades_combatchecker
8a31b2da5c buff_desc_hailofblades_ready
6a2411283d buff_desc_hexdrinkermaw
25498a61fc buff_desc_item3181isolatedbuff
6cd86c6f41 buff_desc_item4005haste
2e373eb849 buff_desc_item6035buff
b190c49b27 buff_desc_item6333deathsdanceheal
35153cc1b4 buff_desc_itemavalancherallydamagebuff
4d22afde4a buff_desc_itemavalancherallymvmtbuff
1eb32c8adf buff_desc_itemavalanchesheen
7342c2b638 buff_desc_itemhextechrocketbeltbuff
eb7f1dd494 buff_desc_itemnightharvesterms
37a7cc6a5d buff_desc_itemroeenrage
6263051527 buff_desc_itemroestackcounter
9c2a04c7a1 buff_desc_itemsupportminionpenalty
eaa5809a4a buff_desc_kleptomancysheen
3c9dddd0c1 buff_desc_ksanteeshield
0312c12d84 buff_desc_ksantepmark
5c668c7052 buff_desc_ksanteq
6ce10dc2f8 buff_desc_ksanteq3
7164826e2e buff_desc_ksantercastroot
5dff4a91e7 buff_desc_ksanterknockbackwall
40e37e9072 buff_desc_ksantertransform
0304d8c81f buff_desc_ksantew
6a6ef635fc buff_desc_ksantewstun
010fd7869a buff_desc_ksphilocounter
09ec2a6ee6 buff_desc_ksphilosophersstone
61dd3b01d2 buff_desc_kspredatorspatiencehaste
4a5083e974 buff_desc_kssnugglezone_cd
55931b6441 buff_desc_leblancp
ea73a4a204 buff_desc_leblancpcooldown
0f095c8a9d buff_desc_leblancqmark
35412f49a4 buff_desc_leblancrqmark
f1f2ed5b6f buff_desc_lethaltempocooldown
4d539d09ec buff_desc_lilliae
b031be1448 buff_desc_lilliap
7f56491164 buff_desc_lucianqpassivebuff
bf7392a6c4 buff_desc_malphitethunderclapprehit
75667d13dc buff_desc_manaflowband
a941807da7 buff_desc_manaflowbandcd
f47c2e8a6c buff_desc_maokaipassiveready
7716ec85c9 buff_desc_milioe
2a508715f0 buff_desc_miliopbuff
3262c925c1 buff_desc_miliopburn
0f7efc49d1 buff_desc_milioq
5236f7e7a7 buff_desc_milioqslow
1bc8a555e6 buff_desc_milior
23e4dd6b19 buff_desc_miliow
153f8369fb buff_desc_nilahpshield
6d855d1a7b buff_desc_nilahw
46d2cd8d05 buff_desc_nilahwbuff
89767a0cb4 buff_desc_nimbuscloakcastbuff
4371c6bdca buff_desc_nimbuscloakcooldownbuff
bce6869b99 buff_desc_nimbuscloakcooldowninfo
4feee712db buff_desc_nimbuscloakready
596615c6a9 buff_desc_nimbuscloakspeedbuff
176eeac700 buff_desc_npc_hazard_bubblegeyser_debuff
2a67e47dd8 buff_desc_odyssey_supermegaawesomebuff
1dfdc58765 buff_desc_phage
569c38fcd1 buff_desc_philosophersstonedisplay
c7fb08c42f buff_desc_practicetool_modifystats_healthbuff
27011b6a6c buff_desc_practicetool_modifystats_resistancebuff
03b8b437da buff_desc_presenceofmind
1901a2b881 buff_desc_presstheattack_amp
5c8336e25a buff_desc_presstheattack_stack
3b48f9182a buff_desc_pressthreeattacks_amp
e59ccce00a buff_desc_pressthreeattacks_stack
e4a6771bc7 buff_desc_qiyanawenchantedbuff
2830edffdf buff_desc_qiyanawenchantedbuffhaste
d2393cf20c buff_desc_queenstributedisplay
7999bbc824 buff_desc_relle
438342c5e5 buff_desc_rellestun
32ab69b864 buff_desc_rellp_buff
b9edb139be buff_desc_rellp_debuff
ed6bacf65c buff_desc_rellr
9fa4c4f8cb buff_desc_rellr_damage
185654fd13 buff_desc_rellr_startpull
033806c967 buff_desc_rellw_dismountedbuff
f276b1b4e6 buff_desc_rellw_knockup
eb496476af buff_desc_rellw_mountedbuff
7f7278a34e buff_desc_rellw_shield
e01c6d7a16 buff_desc_rellwempoweredattack
14ff5d932a buff_desc_renatapassive
7dc4b039af buff_desc_renatapassivedebuff
4215c11957 buff_desc_renatardebuff
4e7bf7e9f7 buff_desc_renataw
8305a46ca5 buff_desc_rumblegrenadeshred
7531cb4d1f buff_desc_s10_support_quest_display
722910a87e buff_desc_samirae
120d5430cf buff_desc_samiraebuff
ca0cf36ca2 buff_desc_samirapassive
818b513af2 buff_desc_samirar
b8317bb527 buff_desc_samiraw
dc20f3fb99 buff_desc_settslow
bb9b47e26c buff_desc_shenpassiveshield
50de350726 buff_desc_sorakapassive
64202c46bd buff_desc_spelleffects
b0b7a0ad6d buff_desc_srchampionbuffdeathspeed
e88c36161d buff_desc_sru_eyeofthecrab
f5a1e78a37 buff_desc_srx_cloudzonespeedbuff
36d1403b14 buff_desc_srx_dragonbuffcloud
9005e54bc1 buff_desc_srx_dragonbuffcloududyr
9507d40fff buff_desc_srx_dragonbuffinfernal
bb1db966b1 buff_desc_srx_dragonbuffmountain
37911a676e buff_desc_srx_dragonbuffocean
79cf84b5fb buff_desc_srx_dragonbuffruined
79aa13d96f buff_desc_srx_dragonbuffruined_debuff
d3c2b70e0f buff_desc_srx_dragonsoulbuffcloud_movementspeed
6837cb29f9 buff_desc_srx_dragonsoulbuffcloud_movementspeedcooldown
8bfb547b5e buff_desc_srx_dragonsoulbuffinfernal_cooldown
f8f5ed72fc buff_desc_srx_dragonsoulbuffocean_hot
3cdfd3ac15 buff_desc_steraksshield
b9a62f48e5 buff_desc_summonaeryally
bd36f5e21f buff_desc_summonaeryready
3002bd34ac buff_desc_summonerbarrier
86f81ee9fb buff_desc_summonerdot
2647dd52e9 buff_desc_summonerexhaustdebuff
6a2fad508a buff_desc_summonerexhaustslow
c3e9afddd8 buff_desc_summonerheal
93bfad2b07 buff_desc_summonersnowball
12a4df0776 buff_desc_swainppullready
0814558cbc buff_desc_swainrnovaslow
1ae2330a59 buff_desc_swainsoulcounterkey
60336f6192 buff_desc_syndrapassivestacks
0d76ba8bf0 buff_desc_tahmkenche
7481b6459c buff_desc_targonquestdisplay
144c63b638 buff_desc_targonquestdisplaytt
4fee3df8b4 buff_desc_targonslineshield
78c3b1524a buff_desc_tasteofblood
21de472fc3 buff_desc_tasteofbloodready
7b7c2d410b buff_desc_threshestun
7c99c9faa7 buff_desc_trinityforce
a72bce447e buff_desc_trinityforcestacks
e37e108f89 buff_desc_tunnelvision
16528ae36e buff_desc_udyre
1f382a3a7e buff_desc_udyre2activation
31741f1ee8 buff_desc_udyrq2activation
2901d36e05 buff_desc_udyrractivation
71d51dc14e buff_desc_udyrw2activation
4703b68a00 buff_desc_ultbook_zombiedragonsoul_cooldown
70a4d135d8 buff_desc_unsealedspellbook_chargetracker
fe18e140ad buff_desc_unsealedspellbook_ooctracker
fb5806f807 buff_desc_unsealedspellbook_swapavailable
6176c0fbd3 buff_desc_unsealedspellbookbackgroundcd
7b1cfa7d04 buff_desc_vegeancecd
0c02c2df14 buff_desc_vegeancedelay
1b3d41737b buff_desc_yoneq
8ee1fd7b3e buff_desc_zombiewarddamagebuff
01954bb19c buff_dragonbuff_chemtech_tooltip
64f3cd451b buff_dragonbuff_hextech_tooltip
92cfda8813 buff_dragonsoulcloud_cooldown
1a3f8c1790 buff_dragonsoulcloud_name
a534b830c6 buff_dragonsoulcloud_tooltip
9c5f407af5 buff_dragonsoulcloud_tooltip_preview
f4f4591007 buff_dragonsoulinfernal_cooldown
6cf74d2d14 buff_dragonsoulinfernal_name
f6a31f244c buff_dragonsoulinfernal_tooltip
c47138e8db buff_dragonsoulinfernal_tooltip_preview
f1446a24a7 buff_dragonsoulmountain_name
4aa88f4ebe buff_dragonsoulmountain_tookdamagetooltip
25da7afbad buff_dragonsoulmountain_tooltip
1b17c27007 buff_dragonsoulmountain_tooltip_preview
cea0aaed90 buff_dragonsoulocean_name
f3156d6c7e buff_dragonsoulocean_tooltip
b1664783c2 buff_dragonsoulocean_tooltip_preview
11ba13cdfb buff_dragonsoulruined_cooldown
25e3775f3a buff_dragonsoulruined_name
79a925996d buff_dragonsoulruined_tooltip
2eba21878f buff_drmundoeability_tooltip
54f7337360 buff_drmundopassiveability_tooltip
182eba72b5 buff_drmundoqability_tooltip
7d7141e71c buff_drmundorability_tooltip
66c47c96ce buff_drmundowability_tooltip
f735758d1b buff_elderdragonbuff_name
4f7eae78b6 buff_elderdragonbuff_tooltip
5fe39bcad4 buff_ezrealpassivestacks_name
acea3b8b41 buff_ezrealpassivestacks_tooltip
96f47c6a2f buff_ezrealwattach_tooltip
cec45e00a3 buff_garene_tooltip
82fc5d85e5 buff_gareneshred_tooltip
ceb98e1d12 buff_garenpassivecooldown_tooltip
f476af4465 buff_garenpassiveheal_tooltip
5cd89a48c8 buff_garenqbuff_tooltip
74cef0a511 buff_garenqhaste_tooltip
c831e8427a buff_garenw_tooltip
1559c9ec92 buff_glacialaugment_tooltip
3eb3ee63bb buff_item2004_tooltip
88a8a24201 buff_item2010_tooltip
ff5b459061 buff_item3050mark_tooltip
3db2e3d54b buff_item3068aura_tooltip
dbbe9bdd0e buff_item3068dot_tooltip
89be794a9c buff_item3109mspd
5d45728b82 buff_item3110aura_tooltip
89c8bf7b90 buff_item3193active_tooltip
eaff10e7f7 buff_item3193buff_tooltip
d65e8d944a buff_item3211regen_tooltip
dee2a62b5e buff_item4005debuff_tooltip
7ce8d32988 buff_item6660aura_tooltip
b03f6f580f buff_item6662aura_tooltip
bfc7099578 buff_item6664aura_tooltip
2c97dc5078 buff_item8001drstackbuff_tooltip
2267372e27 buff_item8001tenacitydebuff_tooltip
363da80139 buff_item_monsterburn_name
a927edbd4b buff_item_monsterburn_tooltip
561601d088 buff_itemdoransshieldpassive_tooltip
0277126adf buff_itemrighteousgloryslow_tooltip
ebd9264f89 buff_kaylee_name
e10161c74e buff_kaylee_tooltip
37e2c1649a buff_kayleenrage_name
82ae4c62bd buff_kayleenrage_tooltip
0592809729 buff_kayleenragecounter_name
0e3b2e7296 buff_kayleenragecounter_tooltip
c3d5632a59 buff_kayleq_name
5edeb8c0b7 buff_kayleq_tooltip
3461a42f4a buff_kayleqshred_name
4c913cdc71 buff_kayleqshred_tooltip
55f743fc1b buff_kayler_name
07b7b6da6a buff_kayler_tooltip
6c33876e1a buff_kaylew_name
75424695ea buff_kaylew_tooltip
00e322adbc buff_ksantewknockback
1a166a8cdf buff_lethaltempo_tooltip
e39c1325c5 buff_lilliaeability_tooltip
75b58c2f15 buff_lilliap_name
973a054dc5 buff_lilliap_tooltip
b39b6d6984 buff_lilliaprancestack_name
2af1e57d7f buff_lilliaprancestack_tooltip
d08ce56a6a buff_lilliarsleep_name
a9ab405ed8 buff_lilliarsleep_tooltip
2615fa186e buff_luxeslow_tooltip
e3d443493a buff_luxp_name
0663964295 buff_luxp_tooltip
212631a697 buff_luxp_tooltipsimple
4415c542a7 buff_malzaharw_name
027b92e6cb buff_malzaharw_tooltip
8b2be80663 buff_missfortunep_name
8ff8d61936 buff_missfortunep_tooltip
3c7a742b79 buff_missfortunep_tooltipsimple
d68c4f81b2 buff_monkeykingpassivestack_name
e655a34be7 buff_monkeykingpassivestack_tooltip
4fbe4dbb75 buff_monkeykingspinrecast_name
041069042d buff_monkeykingspinrecast_tooltip
6045bd1301 buff_mordekaiserepull_name
fb7c94b59a buff_mordekaiserepull_tooltip
e7103af50e buff_mordekaiserpassive_fullstacks_name
483b80b16a buff_mordekaiserpassive_fullstacks_tooltip
bef71ae4a3 buff_mordekaiserr_statsteal_name
c9e684acee buff_mordekaiserr_statsteal_tooltip
fda87ff228 buff_mordekaiserr_statstealenemy_name
59da8464e8 buff_mordekaiserr_statstealenemy_tooltip
5bfe4cfcc1 buff_mordekaiserw_name
fbda158a3e buff_mordekaiserw_tooltip
5b0037a827 buff_morganae_name
1d4df1b445 buff_morganae_tooltip
058d173d79 buff_morganaq_name
c15a490440 buff_morganaq_tooltip
5723c95648 buff_morganar_name
056eb2caa6 buff_morganar_tooltip
72ee3c1f14 buff_morganardebuff_name
bb6cda3cdc buff_morganardebuff_tooltip
77f9ab35e3 buff_neekopassivebuff_name
7e719fd7e6 buff_neekopassivebuff_tooltip
386644e8e7 buff_nocturnep_name
cd626fe715 buff_nocturnep_tooltip
93fd500f17 buff_nocturnep_tooltipsimple
3cf959c963 buff_olafqshred_tooltip
1518c67dbe buff_olafwshield_tooltip
a47cfd96fc buff_ornnpallyitemready_name
f152baa685 buff_ornnpallyitemready_tooltip
9935722611 buff_pantheone_name
63b6b8f155 buff_pantheone_tooltip
b670024679 buff_pantheonespeed_name
e12d17b2fb buff_pantheonpassivecounter_name
1c7294c5f6 buff_pantheonpassivecounter_tooltip
b6d8a489b5 buff_pantheonpassiveready_name
9bc2964409 buff_pantheonpassiveready_tooltip
2523b91033 buff_pantheonqslow_name
5566015ea5 buff_pantheonqslow_tooltip
7a4f4dd6b0 buff_pantheonready_name
b1889002d2 buff_pantheonrslow_name
