382d671b ADRatio
3f53fa85 Characters/Ahri/Spells/AhriBasicAttack
6833ae15 Characters/Ahri/Spells/AhriBasicAttack2
e44a43d5 Characters/Ahri/Spells/AhriCritAttack
50f03f58 Characters/Ahri/Spells/AhriDefaultOrbVFXBuff
974b7292 Characters/Ahri/Spells/AhriFoxFire
64e4edce Characters/Ahri/Spells/AhriFoxFireMissile
3d32d03c Characters/Ahri/Spells/AhriFoxFireMissileTwo
d0f4c72e Characters/Ahri/Spells/AhriOrbMissile
e721f1fc Characters/Ahri/Spells/AhriOrbReturn
952f6012 Characters/Ahri/Spells/AhriOrbReturnDead
c30f0f9e Characters/Ahri/Spells/AhriOrbofDeception
fc5eccbe Characters/Ahri/Spells/AhriPassive
5ea1ddd8 Characters/Ahri/Spells/AhriPassiveOrbVFXBuff
c7488f12 Characters/Ahri/Spells/AhriSeduce
f92e369f Characters/Ahri/Spells/AhriSeduceDoom
decddf4e Characters/Ahri/Spells/AhriSeduceMissile
c1c9c68e Characters/Ahri/Spells/AhriSoulCrusher
ab9bed3e Characters/Ahri/Spells/AhriSoulCrusherCounter
1d8d8138 Characters/Ahri/Spells/AhriSoulCrusherNumbers
11126448 Characters/Ahri/Spells/AhriTumbleAbility
9fa85bbe Characters/Ahri/Spells/AhriTumbleMissile
85233c76 Characters/Akali
1081ab4f Characters/Akali/Spells/AkaliBasicAttack
7920f5c7 Characters/Akali/Spells/AkaliBasicAttack2
7820f434 Characters/Akali/Spells/AkaliBasicAttack3
4ee2c910 Characters/Akali/Spells/AkaliBasicAttackPassive
078dc24c Characters/Akali/Spells/AkaliBasicAttackPassiveMelee
2538a366 Characters/Akali/Spells/AkaliBasicAttackPassiveMeleeMinion
448bc23a Characters/Akali/Spells/AkaliBasicAttackPassiveMinion
306aa7d7 Characters/Akali/Spells/AkaliCritAttack
ff46991e Characters/Akali/Spells/AkaliE
fc2447a9 Characters/Akali/Spells/AkaliEMis
58239e34 Characters/Akali/Spells/AkaliEb
1446ba2d Characters/Akali/Spells/AkaliP
10ec66b2 Characters/Akali/Spells/AkaliPVFXMis
27256039 Characters/Akali/Spells/AkaliPVFXMis1
24255b80 Characters/Akali/Spells/AkaliPVFXMis2
3244653d Characters/Akali/Spells/AkaliPVFXMisEnemy1
1346b89a Characters/Akali/Spells/AkaliQ
f5b84585 Characters/Akali/Spells/AkaliQMis
8615bbef Characters/Akali/Spells/AkaliQMis0
8515ba5c Characters/Akali/Spells/AkaliQMis1
8815bf15 Characters/Akali/Spells/AkaliQMis2
8715bd82 Characters/Akali/Spells/AkaliQMis3
8215b5a3 Characters/Akali/Spells/AkaliQMis4
8115b410 Characters/Akali/Spells/AkaliQMis5
94e65fbd Characters/Akali/Spells/AkaliQMisParent
a905559b Characters/Akali/Spells/AkaliRAbility
0d46af28 Characters/Akali/Spells/AkaliW
ec575cf3 Characters/Akali/Spells/AkaliWMisVis
b183036f Characters/Akali/Spells/AkaliWSmokeMissile
83bdc4a3 Characters/Akali/Spells/AkaliWSmokeMissileRiver
c4860e71 Characters/Akali/Spells/AkaliWSmokeParent
8d8687c5 Characters/Akali/Spells/AkaliWSmokeParentRiver
b0ada09a Characters/Alistar
f4b574f7 Characters/Alistar/Spells/AlistarBasicAttack
fea6d21f Characters/Alistar/Spells/AlistarBasicAttack2
98b3ab2f Characters/Alistar/Spells/AlistarCritAttack
ebef7fa6 Characters/Alistar/Spells/AlistarE
d9e9d8d2 Characters/Alistar/Spells/AlistarEAttack
8a52e128 Characters/Alistar/Spells/AlistarPassive
dfe701a2 Characters/Alistar/Spells/AlistarPassiveHeal
9d8562fd Characters/Alistar/Spells/AlistarPassiveHealMis
e0d93be9 Characters/Alistar/Spells/AlistarPassiveStacks
1af93cfa Characters/Alistar/Spells/FerociousHowl
81a43926 Characters/Alistar/Spells/FerociousHowl_URF
b6b73072 Characters/Alistar/Spells/HeadButt
d1a4bacf Characters/Alistar/Spells/Pulverize
0fc67c65 Characters/Amumu
db048add Characters/Amumu/Spells/AmumuBasicAttack
b726b63d Characters/Amumu/Spells/AmumuBasicAttack2
52d1e49d Characters/Amumu/Spells/AmumuCritAttack
547393e7 Characters/Amumu/Spells/AmumuP
7307d17d Characters/Amumu/Spells/AmumuPDebuff
2ca548f8 Characters/Amumu/Spells/AuraofDespair
2a7346e7 Characters/Amumu/Spells/BandageToss
87550f4f Characters/Amumu/Spells/CurseoftheSadMummy
08f6e556 Characters/Amumu/Spells/CurseoftheSadMummyCastEffects
0287b73a Characters/Amumu/Spells/NightmareBotAmumuBuff
3f90eb9f Characters/Amumu/Spells/NightmareBotAmumuR
f91062fa Characters/Amumu/Spells/SadMummyBandageToss
612a5835 Characters/Amumu/Spells/Tantrum
89369274 Characters/Anivia
9118781d Characters/Anivia/Spells/AniviaBasicAttack
988531fd Characters/Anivia/Spells/AniviaBasicAttack2
a2a11cdd Characters/Anivia/Spells/AniviaCritAttack
7b3238c4 Characters/Anivia/Spells/AniviaIced
b2320fd7 Characters/Anivia/Spells/ChilledAniviaUlt
b1780f85 Characters/Anivia/Spells/Crystallize
9e266063 Characters/Anivia/Spells/FlashFrost
9af0609f Characters/Anivia/Spells/FlashFrostSpell
fb6c92f1 Characters/Anivia/Spells/Frostbite
fba4feff Characters/Anivia/Spells/GlacialStormAbility
06bc221f Characters/Anivia/Spells/GlacialStormSpell
486c084b Characters/Anivia/Spells/Rebirth
28c0d70e Characters/Anivia/Spells/RebirthCooldown
b8c24cc9 Characters/Anivia/Spells/RebirthMarker
12283b72 Characters/Anivia/Spells/RebirthReady
88f91bc7 Characters/Annie
cb6cc14d Characters/Annie/Spells/AnnieBasicAttack
bb349aed Characters/Annie/Spells/AnnieBasicAttack2
fe4878cd Characters/Annie/Spells/AnnieCritAttack
3e18afa8 Characters/Annie/Spells/AnnieE
62742376 Characters/Annie/Spells/AnniePassive
32189cc4 Characters/Annie/Spells/AnnieQ
42bf2419 Characters/Annie/Spells/AnnieRAbility
ba9f2ae1 Characters/Annie/Spells/AnnieUpgradeActive
c3cadf66 Characters/Annie/Spells/AnnieUpgradeInactive
3018999e Characters/Annie/Spells/AnnieW
45011e3b Characters/Annie/Spells/Disintegrate
2010dcb3 Characters/Annie/Spells/EmpoweredTibbers
1abedab4 Characters/Annie/Spells/Incinerate
d23ef6f2 Characters/Annie/Spells/Infernal Guardian
9a0a7ac8 Characters/Annie/Spells/InfernalGuardian
0c431020 Characters/Annie/Spells/InfernalGuardianGuide
d0361289 Characters/Annie/Spells/InfernalGuardianTimer
2c94a448 Characters/Annie/Spells/Molten Shield
68808d5e Characters/Annie/Spells/MoltenShield
1f8b4a52 Characters/Annie/Spells/MoltenShieldTibbersBuff
7d7a8ce6 Characters/Annie/Spells/NightmareBotAnnieBuff
4cdc67e3 Characters/Annie/Spells/NightmareBotAnnieFlamingBuildingsSource
89746bd7 Characters/Annie/Spells/NightmareBotAnnieIncinerate
421df0df Characters/Annie/Spells/NightmareBotAnnieInfernalGuardian
d34b96b6 Characters/Annie/Spells/NightmareBotAnnieLastHitSpell
1372b024 Characters/Annie/Spells/NightmareBotAnnieW
6079cf3a Characters/Annie/Spells/Pyromania
42f0a994 Characters/Annie/Spells/Pyromania Marker
d171a991 Characters/AnnieTibbers/Spells/AnnieTibbersBasicAttack
58ee0b99 Characters/AnnieTibbers/Spells/AnnieTibbersBasicAttack2
b2a00ba5 Characters/Ashe
90b03bbd Characters/Ashe/Spells/AsheBasicAttack
546dc21d Characters/Ashe/Spells/AsheBasicAttack2
ef4fe9fd Characters/Ashe/Spells/AsheCritAttack
3c4cd7c1 Characters/Ashe/Spells/AsheCritChance
bb844dc6 Characters/Ashe/Spells/AshePassive
be61a7eb Characters/Ashe/Spells/AshePassiveNeutralDebuff
65f8750f Characters/Ashe/Spells/AshePassiveSlow
60598b34 Characters/Ashe/Spells/AsheQ
4074e780 Characters/Ashe/Spells/AsheQAttack
855743bb Characters/Ashe/Spells/AsheQAttackNoOnHit
6eb877dd Characters/Ashe/Spells/AsheQBuff
4ae49c72 Characters/Ashe/Spells/AsheQCastReady
f6a5366d Characters/Ashe/Spells/AsheSpiritOfTheHawk
3a052a16 Characters/Ashe/Spells/AsheSpiritOfTheHawkCast
02fd9411 Characters/Ashe/Spells/Enchanted Crystal Arrow
3352dfed Characters/Ashe/Spells/EnchantedCrystalArrow
6818f780 Characters/Ashe/Spells/EnchantedCrystalArrowSlow
cc6cdc8f Characters/Ashe/Spells/ItemHurricaneAsheAttack
5d7a945f Characters/Ashe/Spells/Volley
e00c0f57 Characters/Ashe/Spells/VolleyAttack
efb861a6 Characters/Ashe/Spells/VolleyAttackWithSound
d9006d7e Characters/Ashe/Spells/VolleyCenterAttack
d726c393 Characters/Ashe/Spells/VolleyRightAttack
fd8a9295 Characters/AssassinMode_Objective_Boss2/Spells/AssassinMode_Objective_Boss2BasicAttack
c824dce5 Characters/AssassinMode_Objective_Boss2/Spells/AssassinMode_Objective_Boss2BasicAttack2
c724db52 Characters/AssassinMode_Objective_Boss2/Spells/AssassinMode_Objective_Boss2BasicAttack3
ec5103bf Characters/AssassinMode_Objective_Boss2/Spells/AssassinMode_Objective_Boss2_MiniBaronVulnerable
14bb65d8 Characters/AssassinMode_Objective_Boss2/Spells/AssassinMode_Objective_Boss2_ResistantSkin
8a37b522 Characters/AssassinMode_Objective_Boss2/Spells/AssassinMode_Objective_Boss2_Vulnerable
482f9227 Characters/AurelionSol
74da31f9 Characters/AurelionSol/Spells/AurelionSolBasicAttack
ec4b3ef9 Characters/AurelionSol/Spells/AurelionSolCritAttack
1dd3c90c Characters/AurelionSol/Spells/AurelionSolE
8d63580e Characters/AurelionSol/Spells/AurelionSolECancelButton
e90556c5 Characters/AurelionSol/Spells/AurelionSolEDisplaySpeed
950aa40b Characters/AurelionSol/Spells/AurelionSolELinearFlight
3326e432 Characters/AurelionSol/Spells/AurelionSolPassive
29d3dbf0 Characters/AurelionSol/Spells/AurelionSolQ
9eaf2492 Characters/AurelionSol/Spells/AurelionSolQCancelButton
95925be3 Characters/AurelionSol/Spells/AurelionSolQHaste
95497528 Characters/AurelionSol/Spells/AurelionSolQMissile
c2bb8118 Characters/AurelionSol/Spells/AurelionSolQStun
2cd3e0a9 Characters/AurelionSol/Spells/AurelionSolR
875b84aa Characters/AurelionSol/Spells/AurelionSolRBeamMissile
df7c4384 Characters/AurelionSol/Spells/AurelionSolRKnockback
9c818d0b Characters/AurelionSol/Spells/AurelionSolRMarker
2fff6b54 Characters/AurelionSol/Spells/AurelionSolRSlow
2c6bcd93 Characters/AurelionSol/Spells/AurelionSolStarMissile
2fd3e562 Characters/AurelionSol/Spells/AurelionSolW
33947544 Characters/AurelionSol/Spells/AurelionSolWActive
7e3ece37 Characters/AurelionSol/Spells/AurelionSolWToggleOff
c14e8c46 Characters/Azir
16922a3d Characters/Azir/Spells/AzirBasicAttack
9718359d Characters/Azir/Spells/AzirBasicAttack2
9618340a Characters/Azir/Spells/AzirBasicAttack3
e38adc2d Characters/Azir/Spells/AzirBasicAttackSoldier
d875517d Characters/Azir/Spells/AzirCritAttack
8b5e133f Characters/Azir/Spells/AzirDummySpell
678c4638 Characters/Azir/Spells/AzirE
36157741 Characters/Azir/Spells/AzirEShield
f4bd352c Characters/Azir/Spells/AzirEVisualMissile
19d538c3 Characters/Azir/Spells/AzirEWrapper
cd4c5446 Characters/Azir/Spells/AzirPassive
a53fc2bd Characters/Azir/Spells/AzirPassiveAvailable
7b8c65b4 Characters/Azir/Spells/AzirQ
74332e01 Characters/Azir/Spells/AzirQSlow
38ac8a47 Characters/Azir/Spells/AzirQWrapper
7e8c6a6d Characters/Azir/Spells/AzirR
8bdf07ad Characters/Azir/Spells/AzirRBump
43fec558 Characters/Azir/Spells/AzirRHaste
e872c06b Characters/Azir/Spells/AzirSoldierMissile
070d4b8b Characters/Azir/Spells/AzirSoldierRMissile
ee7f281d Characters/Azir/Spells/AzirTowerClickChannel
798c628e Characters/Azir/Spells/AzirW
5f23cdf7 Characters/Azir/Spells/AzirWProcBuff
c60d8c50 Characters/Azir/Spells/AzirWSelfMissile
9fb8ad1d Characters/Azir/Spells/AzirWSpawnSoldier
5b0970bb Characters/Azir/Spells/AzirWTower
e6068ec2 Characters/Azir/Spells/AzirW_URF
c7664ff7 Characters/AzirSoldier/Spells/AzirSoldierBasicAttack
d83e181d Characters/AzirSunDisc/Spells/AzirSunDiscBasicAttack
8493f123 Characters/BW_AP_ChaosTurret/Spells/BW_AP_ChaosTurretBasicAttack
33ef5759 Characters/BW_AP_ChaosTurret2/Spells/BW_AP_ChaosTurret2BasicAttack
98678b79 Characters/BW_AP_ChaosTurret3/Spells/BW_AP_ChaosTurret3BasicAttack
4480ed3b Characters/BW_AP_OrderTurret/Spells/BW_AP_OrderTurretBasicAttack
bd466bb1 Characters/BW_AP_OrderTurret2/Spells/BW_AP_OrderTurret2BasicAttack
22b5c089 Characters/BW_AP_OrderTurret3/Spells/BW_AP_OrderTurret3BasicAttack
c7a410f5 Characters/Bard
d709bbcd Characters/Bard/Spells/BardBasicAttack
8352f26d Characters/Bard/Spells/BardBasicAttack2
8252f0da Characters/Bard/Spells/BardBasicAttack3
dede244d Characters/Bard/Spells/BardCritAttack
d78b3628 Characters/Bard/Spells/BardE
75090694 Characters/Bard/Spells/BardECreateDoor
bc14010d Characters/Bard/Spells/BardEDoorMovement
1e27cec0 Characters/Bard/Spells/BardPChimePickupLinesMissile
b9e6d747 Characters/Bard/Spells/BardPChimePickupSpeedBoost
601743b5 Characters/Bard/Spells/BardPChimePickupSpeedStacks
69b0653e Characters/Bard/Spells/BardPChimes
80b8c938 Characters/Bard/Spells/BardPDisplayChimeCount
396378ef Characters/Bard/Spells/BardPDisplayRequiredChimes
1d62fcab Characters/Bard/Spells/BardPDisplaySpiritTimer
5a53c18b Characters/Bard/Spells/BardPSpiritAmmoCount
cc9e966e Characters/Bard/Spells/BardPSpiritMissile
54f42957 Characters/Bard/Spells/BardPSpiritMissileSlow
1ffd6414 Characters/Bard/Spells/BardPTooltip_DSAM_nA
1cfd5f5b Characters/Bard/Spells/BardPTooltip_DSAM_nD
13fd5130 Characters/Bard/Spells/BardPTooltip_DSAM_nM
12fd4f9d Characters/Bard/Spells/BardPTooltip_DSAM_nR
11fd4e0a Characters/Bard/Spells/BardPTooltip_DSAM_nS
fb8d36e3 Characters/Bard/Spells/BardPTooltip_DSM_nA
fe8d3b9c Characters/Bard/Spells/BardPTooltip_DSM_nD
12b07ea5 Characters/Bard/Spells/BardPTooltip_DS_nD
19b089aa Characters/Bard/Spells/BardPTooltip_DS_nM
fcfc04e1 Characters/Bard/Spells/BardPTooltip_D_nS
cb8b2344 Characters/Bard/Spells/BardQ
4d66854b Characters/Bard/Spells/BardQInitialTargetDebuff
6bc8a1bc Characters/Bard/Spells/BardQMissile
3ad6528a Characters/Bard/Spells/BardQMissile2
1a8a71b9 Characters/Bard/Spells/BardQShackleDebuff
ce8b27fd Characters/Bard/Spells/BardR
86366e02 Characters/Bard/Spells/BardRMissileFixedTravelTime
eb84e3e3 Characters/Bard/Spells/BardRMissileRange1
ec84e576 Characters/Bard/Spells/BardRMissileRange2
ed84e709 Characters/Bard/Spells/BardRMissileRange3
ee84e89c Characters/Bard/Spells/BardRMissileRange4
ef84ea2f Characters/Bard/Spells/BardRMissileRange5
beb055fa Characters/Bard/Spells/BardRStasis
c98b201e Characters/Bard/Spells/BardW
14b8a77e Characters/Bard/Spells/BardWActualHealing
ff232ec5 Characters/Bard/Spells/BardWDirectHeal
58be6b4d Characters/Bard/Spells/BardWHealthPack
4c759308 Characters/Bard/Spells/BardWSpeedBoost
cfaae1a8 Characters/Blitzcrank
4e7c2a0d Characters/Blitzcrank/Spells/BlitzcrankBasicAttack
cc76812d Characters/Blitzcrank/Spells/BlitzcrankBasicAttack2
060ae28d Characters/Blitzcrank/Spells/BlitzcrankCritAttack
94e112de Characters/Blitzcrank/Spells/BlitzcrankManaBarrierCD
5c31e6c7 Characters/Blitzcrank/Spells/ManaBarrier
a3d1afc6 Characters/Blitzcrank/Spells/ManaBarrierIcon
126e6f83 Characters/Blitzcrank/Spells/NightmareBotBlitzcrankBlankSpell
d8a8bc36 Characters/Blitzcrank/Spells/NightmareBotBlitzcrankBuff
0702df9f Characters/Blitzcrank/Spells/NightmareBotBlitzcrankManaBarrier
685aec82 Characters/Blitzcrank/Spells/NightmareBotBlitzcrankPowerFist
49920949 Characters/Blitzcrank/Spells/NightmareBotBlitzcrankRocketGrab
f6965d57 Characters/Blitzcrank/Spells/NightmareBotBlitzcrankRocketGrabMissile
406832de Characters/Blitzcrank/Spells/NightmareBotBlitzcrankRocketGrabSideMissile
997a5c0b Characters/Blitzcrank/Spells/NightmareBotBlitzcrankStaticField
77ef8963 Characters/Blitzcrank/Spells/Overdrive
c2d6131a Characters/Blitzcrank/Spells/PowerFist
67ec6fb6 Characters/Blitzcrank/Spells/PowerFistAttack
74b7786b Characters/Blitzcrank/Spells/PowerFistSlow
51dae271 Characters/Blitzcrank/Spells/RocketGrab
2690194f Characters/Blitzcrank/Spells/RocketGrabMissile
f62c17ef Characters/Blitzcrank/Spells/StaticFieldAbility
b7a0529f Characters/Brand
c16d6190 Characters/Brand/Spells/BrandAblaze
26d98892 Characters/Brand/Spells/BrandAblazeDetonateMarker
3ecf46d9 Characters/Brand/Spells/BrandBasicAttack
cb4ca3f1 Characters/Brand/Spells/BrandBasicAttack2
d5e9976f Characters/Brand/Spells/BrandBlaze
af6b0a11 Characters/Brand/Spells/BrandBlazeMissile
52e06c32 Characters/Brand/Spells/BrandConflagration
20ee16ee Characters/Brand/Spells/BrandConflagrationMissile
66556059 Characters/Brand/Spells/BrandCritAttack
18b1d520 Characters/Brand/Spells/BrandDamageTracker
f1f26b56 Characters/Brand/Spells/BrandDamageTracker2
ce5a0eec Characters/Brand/Spells/BrandE
6efd0b54 Characters/Brand/Spells/BrandEMissile
ba446110 Characters/Brand/Spells/BrandFissure
2e8c3c12 Characters/Brand/Spells/BrandPassive
da5a21d0 Characters/Brand/Spells/BrandQ
f76f3b88 Characters/Brand/Spells/BrandQMissile
dd5a2689 Characters/Brand/Spells/BrandR
0714c597 Characters/Brand/Spells/BrandRMissile
e980e37d Characters/Brand/Spells/BrandScorchAttack
e05a2b42 Characters/Brand/Spells/BrandW
0dd8970d Characters/Brand/Spells/BrandWildfire
c39c64fb Characters/Brand/Spells/BrandWildfireMissile
9beb9e3e Characters/Brand/Spells/NightmareBotBrandBuff
805060a2 Characters/Brand/Spells/NightmareBotBrandQMissile
330d7b4c Characters/Brand/Spells/NightmareBotBrandW
be5d77b7 Characters/Braum
f81fa1bd Characters/Braum/Spells/BraumBasicAttack
28cb541d Characters/Braum/Spells/BraumBasicAttack2
27cb528a Characters/Braum/Spells/BraumBasicAttack3
cfcbde96 Characters/Braum/Spells/BraumBasicAttackPassiveOverride
5193e708 Characters/Braum/Spells/BraumBasicAttackShieldOverride
fa10251a Characters/Braum/Spells/BraumBasicAttackTower
9feaf2d9 Characters/Braum/Spells/BraumBlockStanceTimerMis1
8365e26c Characters/Braum/Spells/BraumCameraFacingRecallBuff
4edaabfd Characters/Braum/Spells/BraumCritAttack
f40421b8 Characters/Braum/Spells/BraumE
f614d1e8 Characters/Braum/Spells/BraumEDummyVOAshe
3954fbc1 Characters/Braum/Spells/BraumEDummyVOCaitlyn
b20bf4e5 Characters/Braum/Spells/BraumEDummyVODraven
c40d091c Characters/Braum/Spells/BraumEDummyVOEzreal
27045f84 Characters/Braum/Spells/BraumEDummyVONami
3cc9c0b3 Characters/Braum/Spells/BraumEDummyVORiven
6a69fa4f Characters/Braum/Spells/BraumEMSBoost
5f04d5e0 Characters/Braum/Spells/BraumEShieldBuff
d30d0f41 Characters/Braum/Spells/BraumESpecialVOBuff
0ef83548 Characters/Braum/Spells/BraumMark
f1699377 Characters/Braum/Spells/BraumMarkDamageTracker
44ea5d0b Characters/Braum/Spells/BraumMarkDiminish
d3717ef1 Characters/Braum/Spells/BraumMarkStunReduction
f42953c6 Characters/Braum/Spells/BraumPassive
e5b46074 Characters/Braum/Spells/BraumPoroMustacheBuff
fc4daa2c Characters/Braum/Spells/BraumPulseLine
31a791ce Characters/Braum/Spells/BraumPulseLineAnimLock
46e4d71d Characters/Braum/Spells/BraumPulseLineKnockup
08e290f6 Characters/Braum/Spells/BraumPulseLinePopup
5f81d399 Characters/Braum/Spells/BraumPulseLineSlow
2e698b8f Characters/Braum/Spells/BraumPulseLineWrapper
08044134 Characters/Braum/Spells/BraumQ
55622489 Characters/Braum/Spells/BraumQHit
96c504cc Characters/Braum/Spells/BraumQMissile
012d4181 Characters/Braum/Spells/BraumQSlow
42d3275b Characters/Braum/Spells/BraumRMissile
290d991c Characters/Braum/Spells/BraumRWrapper
2b27d233 Characters/Braum/Spells/BraumStunDebuff
06043e0e Characters/Braum/Spells/BraumW
0c013e50 Characters/Braum/Spells/BraumWDummySpell
7d33bd1b Characters/Braum/Spells/BraumWPassiveStatsDoubler
0e99079e Characters/Caitlyn
89349a12 Characters/Caitlyn/Spells/CaitlynAceintheHole
7c30a84e Characters/Caitlyn/Spells/CaitlynAceintheHoleMissile
06d732a3 Characters/Caitlyn/Spells/CaitlynBasicAttack
55c49a43 Characters/Caitlyn/Spells/CaitlynBasicAttack2
2386c2cb Characters/Caitlyn/Spells/CaitlynCritAttack
96013ffb Characters/Caitlyn/Spells/CaitlynEntrapment
6c34018d Characters/Caitlyn/Spells/CaitlynEntrapmentMissile
6d3177e8 Characters/Caitlyn/Spells/CaitlynHeadshotCount
18df0d2f Characters/Caitlyn/Spells/CaitlynHeadshotMissile
39b11825 Characters/Caitlyn/Spells/CaitlynHeadshotPassthrough
81cad7d8 Characters/Caitlyn/Spells/CaitlynHeadshotReady
49c6bc61 Characters/Caitlyn/Spells/CaitlynP
c6f1bbec Characters/Caitlyn/Spells/CaitlynPiltoverPeacemaker
0c8abe7a Characters/Caitlyn/Spells/CaitlynPiltoverPeacemaker2
6aea8659 Characters/Caitlyn/Spells/CaitlynYordleTrap
a4f424dc Characters/Caitlyn/Spells/CaitlynYordleTrapInternal
4779b80a Characters/Caitlyn/Spells/CaitlynYordleTrapSight
db34e86f Characters/Camille
12ae2951 Characters/Camille/Spells/CamilleBasicAttack
cb2b26d9 Characters/Camille/Spells/CamilleBasicAttack2
ca2b2546 Characters/Camille/Spells/CamilleBasicAttack3
cd2b29ff Characters/Camille/Spells/CamilleBasicAttack4
b8069b81 Characters/Camille/Spells/CamilleCritAttack
c982c164 Characters/Camille/Spells/CamilleE
