ef04b183 AISpellData
ea595ca6 Champion
197b4441 ChampionInstance
a5d193ef ChampionMasteryMap
ad06db03 ChampionMetadata
bc4c4051 ChampionSpecificStatStoneData
0878a4ee ChampionSpecificStatStoneDataInstance
d94733d6 ChangeMissileSpeed
cd2f704e ChangeMissileSpeedOnDelay
24d0f2d9 ChangeMissileSpeedOnDelayInstance
8b3aa710 Character
11b71b5e CharacterHealthBarDataRecord
56e86b29 CharacterHealthBarDataRecordInstance
db69f5cb CharacterInstance
07c20fe9 CharacterLevelRequirement
a939f1b6 CharacterLevelRequirementInstance
fc4f4b05 CharacterPreloadData
4a2608e1 CharacterPreloadList
23ea1915 CharacterRecord
92ceab22 CharacterRecordInstance
ec3d693a CharacterToolData
d84541a5 CharacterToolDataInstance
44d5c86a CharacterVarsTable
f647f655 CharacterVarsTableInstance
13866e1b ChatThrottlerData
9af29f08 ChatThrottlerDataInstance
946adb4c Cheat
61369df7 CheatInstance
141c2ec1 CheatMenuUIData
df40db9e CheatMenuUIDataInstance
999c92e7 CheatPage
36c211b4 CheatPageInstance
4577ec44 CheatSet
7f872c1f CheatSetInstance
039b5ebc CircleMovement
a66643e7 CircleMovementInstance
26b675d9 ClearAlreadyHitTrackingOnMovementComplete
2654c326 ClearAlreadyHitTrackingOnMovementCompleteInstance
44443cab ClearTargetAndKeepMovingOnMovementCompleteSpec
7e2a6d18 ClearTargetAndKeepMovingOnMovementCompleteSpecInstance
50c7b105 ClearTargetCooldownCheat
563f29d2 ClearTargetCooldownCheatInstance
e985e7c6 ClipBaseData
13cd3b61 ClipBaseDataInstance
4aff6f5a ColorChooserMaterialDriver
4f535fc5 ColorChooserMaterialDriverInstance
0e0c996f ColorGraphMaterialDriver
fb1dfaec ColorGraphMaterialDriverInstance
995f3c95 Companion
7cc20e55 CompanionData
8e3b8299 CompanionSpeciesData
312c3fe8 ComparisonScriptCondition
19829c93 ComparisonScriptConditionInstance
bb5d4a05 ConcatenateStringsBlock
904ee2d2 ConcatenateStringsBlockInstance
1560dccc ConditionBoolClipData
5cfb4f77 ConditionBoolClipDataInstance
8ebbe9e2 ConditionFloatClipData
34016c1d ConditionFloatClipDataInstance
63e48060 ConditionFloatPairData
813ff89b ConditionFloatPairDataInstance
dd404b6a Cone
82377a1d ConformToPathEventData
4f0fac5a ConformToPathEventDataInstance
ce0b9a93 ConformToPathRigPoseModifierData
d6df7e90 ConformToPathRigPoseModifierDataInstance
cf313c24 ContextualActionData
58cebaff ContextualActionDataInstance
b8809804 ContextualActionPlayAnimation
84af67df ContextualActionPlayAnimationInstance
6376b900 ContextualActionPlayAudio
f9c13a3b ContextualActionPlayAudioInstance
2980c70d ContextualActionPlayVO
0b83a08a ContextualActionPlayVOInstance
1dce7928 ContextualActionTriggerEvent
ce42dad3 ContextualActionTriggerEventInstance
2ed5772b ContextualConditionAnyOtherHero
4a187798 ContextualConditionAnyOtherHeroInstance
2db74660 ContextualConditionChanceToPlay
c2e57e9b ContextualConditionChanceToPlayInstance
a2c49ab2 ContextualConditionCharacter
64317b59 ContextualConditionCharacterDistance
4fbaf8a6 ContextualConditionCharacterDistanceInstance
b6bb8f7f ContextualConditionCharacterFormName
b15faa3c ContextualConditionCharacterFormNameInstance
146c551e ContextualConditionCharacterHasTimeRemainingForAnimation
a489eae9 ContextualConditionCharacterHasTimeRemainingForAnimationInstance
0b3ea6b8 ContextualConditionCharacterHealth
49473ae3 ContextualConditionCharacterHealthInstance
cad0c55f ContextualConditionCharacterInRangeForSyncedAnimation
7715371c ContextualConditionCharacterInRangeForSyncedAnimationInstance
89fed72d ContextualConditionCharacterInstance
607779d6 ContextualConditionCharacterIsCastingRecall
61868af1 ContextualConditionCharacterIsCastingRecallInstance
56adc560 ContextualConditionCharacterLevel
a2ccdd9b ContextualConditionCharacterLevelInstance
95a7d707 ContextualConditionCharacterMetadata
579a47d4 ContextualConditionCharacterMetadataInstance
defcc579 ContextualConditionCharacterName
ab2ac9c6 ContextualConditionCharacterNameInstance
83e85dfa ContextualConditionCharacterPlayingAnimation
72de6965 ContextualConditionCharacterPlayingAnimationInstance
03217ad4 ContextualConditionCharacterPlayingEmote
9e2a59ef ContextualConditionCharacterPlayingEmoteInstance
76c5ccd2 ContextualConditionCharacterRole
7830e54d ContextualConditionCharacterRoleInstance
c879644a ContextualConditionCharacterSkinID
c4f5be35 ContextualConditionCharacterSkinIDInstance
a19fcc9d ContextualConditionCharacterUnitTags
d49fceda ContextualConditionCharacterUnitTagsInstance
7186a071 ContextualConditionCustomTimer
94b1010e ContextualConditionCustomTimerInstance
75dee42d ContextualConditionEnemyDeathsNearby
48d754aa ContextualConditionEnemyDeathsNearbyInstance
3c38b91e ContextualConditionGameTimer
82fecee9 ContextualConditionGameTimerInstance
54b157d7 ContextualConditionHasGold
64b0efe4 ContextualConditionHasGoldInstance
7e735954 ContextualConditionHasItemFromVOGroup
b3c9886f ContextualConditionHasItemFromVOGroupInstance
c6623d61 ContextualConditionIsAlly
27588d3e ContextualConditionIsAllyInstance
ee7f84c8 ContextualConditionItemCanBePurchased
3dab2e73 ContextualConditionItemCanBePurchasedInstance
40bff419 ContextualConditionItemID
833dba66 ContextualConditionItemIDInstance
cd0f0f43 ContextualConditionItemPriceMinimum
42e9ca00 ContextualConditionItemPriceMinimumInstance
f4ec6a11 ContextualConditionItemPurchased
0d4201ae ContextualConditionItemPurchasedInstance
e438c142 ContextualConditionItemVOGroup
8e814a7d ContextualConditionItemVOGroupInstance
34ef2512 ContextualConditionKillCount
81ccad8d ContextualConditionKillCountInstance
cdabb917 ContextualConditionLastBoughtItem
2bb34f24 ContextualConditionLastBoughtItemInstance
098fc28e ContextualConditionMapID
ecb9c419 ContextualConditionMapIDInstance
c01571f0 ContextualConditionMapRegionName
16c91bab ContextualConditionMapRegionNameInstance
5faf30c1 ContextualConditionMoveDistance
ecf21d9e ContextualConditionMoveDistanceInstance
9ba5f53d ContextualConditionMultikillSize
676f237a ContextualConditionMultikillSizeInstance
fe363232 ContextualConditionNearbyChampionCount
625bdead ContextualConditionNearbyChampionCountInstance
41d6aca8 ContextualConditionNegation
81edfe53 ContextualConditionNegationInstance
a0dcfa06 ContextualConditionNeutralMinionCampIsAlive
ab93b9a1 ContextualConditionNeutralMinionCampIsAliveInstance
9d9f6036 ContextualConditionNeutralMinionCampName
ec676d51 ContextualConditionNeutralMinionCampNameInstance
0586282d ContextualConditionNeutralMinionMapSide
a3a318aa ContextualConditionNeutralMinionMapSideInstance
fde0ba72 ContextualConditionNumberOfCharactersNearTargetPos
d9baf9ed ContextualConditionNumberOfCharactersNearTargetPosInstance
7cea4c0f ContextualConditionObjectiveTakeByMyTeam
60775a8c ContextualConditionObjectiveTakeByMyTeamInstance
617d65d6 ContextualConditionOwnerTeamNetChampionKills
21ddf6f1 ContextualConditionOwnerTeamNetChampionKillsInstance
b4a5fb60 ContextualConditionRuleCooldown
51d5d39b ContextualConditionRuleCooldownInstance
52a87194 ContextualConditionShopCloseCount
987759af ContextualConditionShopCloseCountInstance
72d98de2 ContextualConditionShopOpenCount
bfaf901d ContextualConditionShopOpenCountInstance
7ac070ef ContextualConditionSpell
e2c5426c ContextualConditionSpellInstance
ea6abe3a ContextualConditionSpellIsReady
a3a836a5 ContextualConditionSpellIsReadyInstance
6f22e2ef ContextualConditionSpellLevel
1dc3f46c ContextualConditionSpellLevelInstance
605ed8ec ContextualConditionSpellName
be0fb697 ContextualConditionSpellNameInstance
347c2fe3 ContextualConditionSpellSlot
e15d65a0 ContextualConditionSpellSlotInstance
de5cceb3 ContextualConditionTeammateDeathsNearby
d466e6b0 ContextualConditionTeammateDeathsNearbyInstance
9dc2bd74 ContextualConditionTimeSinceStealthStateChange
f7a60f8f ContextualConditionTimeSinceStealthStateChangeInstance
808d1d32 ContextualConditionTurretPosition
7bc529ad ContextualConditionTurretPositionInstance
22d0ac10 ContextualRule
f69b9acb ContextualRuleInstance
fc27a63e ContextualSituation
07894009 ContextualSituationInstance
eabbe15f CreateCustomTableBlock
6fc7d31c CreateCustomTableBlockInstance
991a0436 CreateFunctionBlock
fe129151 CreateFunctionBlockInstance
ee18633d CursorConfig
2d01517a CursorConfigInstance
0b2de797 CursorData
cde95875 CursorDataCaptureCooldownContext
82e29682 CursorDataCaptureCooldownContextInstance
873ccda4 CursorDataInstance
ef4e0fb1 CursorDataTeamContext
6ae9234e CursorDataTeamContextInstance
e9aa7c54 CurveTheDifferenceHeightSolver
3ee20b6f CurveTheDifferenceHeightSolverInstance
ffa8a9b4 CustomChampionKillStatStoneData
d35faccf CustomChampionKillStatStoneDataInstance
abceae9e CustomDamageStatStoneData
10edf469 CustomDamageStatStoneDataInstance
205255d6 CustomShaderDef
b060e6f1 CustomShaderDefInstance
1c63ed6d CustomTableContainsValueBlock
7ab152ea CustomTableContainsValueBlockInstance
9fd741ae CustomTableGet
d396c639 CustomTableGetInstance
aabb56b2 CustomTableSet
5c91132d CustomTableSetInstance
bd32d02a CustomTargeterDefinitions
bcc25715 CustomTargeterDefinitionsInstance
cd3905c8 DamageSourceSettings
ab73cf73 DamageSourceSettingsInstance
e7cb7ccb DamageSourceTemplate
f9d15638 DamageSourceTemplateInstance
ec41779d DamageUnitCheat
3cebd9da DamageUnitCheatInstance
1307c9ed DeathTimes
21243f6a DeathTimesInstance
99f97edc DeathTimesScalingPoint
6631b507 DeathTimesScalingPointInstance
b26e7d7d DecelToLocationMovement
136498ba DecelToLocationMovementInstance
8f5daa75 DefaultSplashedPerkStyle
af4f2882 DefaultSplashedPerkStyleInstance
d0ddfeb9 DefaultVisibilityInstance
d2c1ea2e Defaultvisibility
c45b6745 Destroy
4a38de49 DestroyChildrenOnMovementComplete
1935fa16 DestroyChildrenOnMovementCompleteInstance
cc1b8b67 DestroyCustomTableBlock
7fd79a34 DestroyCustomTableBlockInstance
066b4e65 DestroyOnHit
c87c7232 DestroyOnHitInstance
fb0dfd42 DestroyOnMovementComplete
5d42067d DestroyOnMovementCompleteInstance
df6dc76a Direction
9143dd55 DistanceToPlayerMaterialFloatDriver
08c26f62 DistanceToPlayerMaterialFloatDriverInstance
cdb319f6 DrawablePositionLocator
b29e8d11 DrawablePositionLocatorInstance
2d6bf1a2 DynamicMaterialDef
8dd0b9dd DynamicMaterialDefInstance
073f6a51 DynamicMaterialParameterDef
d8670eee DynamicMaterialParameterDefInstance
ef39fa85 DynamicMaterialStaticSwitch
85c12352 DynamicMaterialStaticSwitchInstance
4db865fc DynamicMaterialTextureSwapDef
26681a27 DynamicMaterialTextureSwapDefInstance
21d0c864 DynamicMaterialTextureSwapOption
3670e03f DynamicMaterialTextureSwapOptionInstance
48b49195 ESportLeagueEntry
9c1fb3a2 ESportLeagueEntryInstance
141100a5 ESportTeamEntry
39b1f572 ESportTeamEntryInstance
5f3e870a EVOSettings
565c95f5 EVOSettingsInstance
c27090c2 EffectAmmoElementData
093389fd EffectAmmoElementDataInstance
8161aa78 EffectAnimatedRotatingIconElementData
1f3b1ba3 EffectAnimatedRotatingIconElementDataInstance
720bb1aa EffectAnimationElementData
79e5e895 EffectAnimationElementDataInstance
9b78684f EffectArcFillElementData
2acab4cc EffectArcFillElementDataInstance
f395015b EffectCircleMaskCooldownElementData
de9ff948 EffectCircleMaskCooldownElementDataInstance
dcf3dbd2 EffectCircleMaskDesaturateElementData
6ab1d44d EffectCircleMaskDesaturateElementDataInstance
be3f7ef7 EffectCooldownElementData
b0095c04 EffectCooldownElementDataInstance
81990a5e EffectCooldownRadialElementData
29b93a29 EffectCooldownRadialElementDataInstance
4f9ee6c6 EffectDesaturateElementData
22a71a61 EffectDesaturateElementDataInstance
a34b6ba4 EffectElementData
e74f5a7f EffectElementDataInstance
0d221f07 EffectFillPercentageElementData
67158fd4 EffectFillPercentageElementDataInstance
ee4da73f EffectGlowElementData
5ee479fc EffectGlowElementDataInstance
0aa8555a EffectGlowingRotatingIconElementData
d77305c5 EffectGlowingRotatingIconElementDataInstance
acf7065b EffectInstancedElementData
091d9e48 EffectInstancedElementDataInstance
5e46619e EffectLineElementData
50c90769 EffectLineElementDataInstance
a82317ef EffectRotatingIconElementData
9f75c96c EffectRotatingIconElementDataInstance
8bc08357 EffectValueCalculationPart
1a4a0b64 EffectValueCalculationPartInstance
66244ec3 EmblemData
70b77980 EmblemDataInstance
5db58898 EmblemPosition
1e9d32c3 EmblemPositionInstance
16b80106 EmblemSettings
cb68a0a1 EmblemSettingsInstance
07861898 EnableLookAtEventData
f7efc2c3 EnableLookAtEventDataInstance
35d7e9b5 EnchantmentGroup
70afcac2 EnchantmentGroupInstance
a64d5210 EngineFeatureToggles
114700cb EngineFeatureTogglesInstance
92bb5993 EnterFOWVisibility
c8681d90 EnterFOWVisibilityInstance
0edf1cf3 EsportsData
ef08f3f0 EsportsDataInstance
c7be3bd2 EsportsTeamData
2868344d EsportsTeamDataInstance
48d8c38d EventConfig
e90ead0a EventConfigInstance
c1f3e2a0 EvolutionDescription
f9da7cdb EvolutionDescriptionInstance
93f5c410 ExperienceCurveData
684bb2cb ExperienceCurveDataInstance
f0cf99ef ExperienceModData
43f08b6c ExperienceModDataInstance
4c547d91 FadeEventData
d469052e FadeEventDataInstance
f2b58198 FeatureAudioDataProperties
aa034bc3 FeatureAudioDataPropertiesInstance
26178188 FeatureId
d4901433 FeatureIdInstance
bdcb777c FixedDistanceIgnoringTerrain
cddbdba7 FixedDistanceIgnoringTerrainInstance
f3122763 FixedShaderDef
610acd20 FixedShaderDefInstance
06302899 FixedSpeedMovement
feaffee6 FixedSpeedMovementInstance
775dfd10 FixedSpeedSplineMovement
fee20bcb FixedSpeedSplineMovementInstance
f7318865 FixedTimeMovement
5b8fec32 FixedTimeMovementInstance
cac4f8b4 FixedTimeSplineMovement
7256dbcf FixedTimeSplineMovementInstance
2f7c7780 FlexTypeFloat
16b048bb FlexTypeFloatInstance
51ab90ef FlexValueFloat
f7f4626c FlexValueFloatInstance
7c71f268 FlexValueVector
90bc9b17 FloatComparisonMaterialDriver
36be7124 FloatComparisonMaterialDriverInstance
5fe24f17 FloatGet
1c66a524 FloatGetInstance
d05c1920 FloatGraphMaterialDriver
a803035b FloatGraphMaterialDriverInstance
70fff2b7 FloatLiteralMaterialDriver
4c319ec4 FloatLiteralMaterialDriverInstance
12e7efca FloatOffsetTableGet
be7a39b5 FloatOffsetTableGetInstance
1e4b4a7c FloatPerSpellLevel
a0a30ea7 FloatPerSpellLevelInstance
edd323b9 FloatTableGet
6d231b06 FloatTableGetInstance
d4cb8dc5 FloatTableSet
b023c992 FloatTableSetInstance
0ff5b9c5 FloatTextDisplayOverrides
a2e77592 FloatTextDisplayOverridesInstance
22e0db7d FloatTextFormattingData
a104b6ba FloatTextFormattingDataInstance
16d88f43 FloatTextIconData
0c634a00 FloatTextIconDataInstance
b9ef7871 FloatingTextDamageDisplayTypeList
aa5cd90e FloatingTextDamageDisplayTypeListInstance
81152d01 FloatingTextGlobalConfig
4cee54de FloatingTextGlobalConfigInstance
1798eccc FloatingTextTunables
84255f77 FloatingTextTunablesInstance
02c77d2c FloatingTextTypeList
0b01c5d7 FloatingTextTypeListInstance
90182c86 FloorFloatMaterialDriver
1c72bc21 FloorFloatMaterialDriverInstance
4e965201 FollowTerrainHeightSolver
bc4f19de FollowTerrainHeightSolverInstance
e9a48c99 FontLocaleResolutions
65cce2e6 FontLocaleResolutionsInstance
9afa3aea FontLocaleType
79f838d5 FontLocaleTypeInstance
b9fcce52 FontResolution
0dcdad02 FontResolutionData
f8d5a93d FontResolutionDataInstance
9d5696cd FontResolutionInstance
2db35d98 FontType
d560a7c3 FontTypeInstance
01e24a54 ForEachInCustomTableBlock
2185996f ForEachInCustomTableBlockInstance
858a409f ForceSpawnNeutralCampsCheat
07df025c ForceSpawnNeutralCampsCheatInstance
ed7c7d0c FunctionDefinition
153616b7 FunctionDefinitionInstance
2fb86ccd FunctionTableGet
d122884a FunctionTableGetInstance
4b3bfec1 FunctionTableSet
988aab9e FunctionTableSetInstance
892e1ff2 GDSMapObjectAnimationInfo
7cdf8f6d GDSMapObjectAnimationInfoInstance
48dd2f52 GDSMapObjectExtraInfo
0d4217cd GDSMapObjectExtraInfoInstance
b754d5b7 GDSMapObjectInstance
e343b9b0 GameFontDescription
4ad4766b GameFontDescriptionInstance
8a7481af GameModeChampionList
0f27632c GameModeChampionListInstance
6395ef34 GameModeConstant
641de12c GameModeConstantBool
8a40a9d7 GameModeConstantBoolInstance
977517c6 GameModeConstantFloat
72726b61 GameModeConstantFloatInstance
a9fdf28d GameModeConstantFloatPerLevel
0a4abc0a GameModeConstantFloatPerLevelInstance
9740224f GameModeConstantInstance
4012fd7e GameModeConstantInteger
ec233049 GameModeConstantIntegerInstance
a188bd55 GameModeConstantString
90c34f62 GameModeConstantStringInstance
62715df3 GameModeConstantVector
0c07acc5 GameModeConstants
2aee8b8c GameModeConstantsGroup
52cb7537 GameModeConstantsGroupInstance
dd64c892 GameModeConstantsInstance
1e325605 GameModeContent
e9396ed2 GameModeContentInstance
05b2020c GameModeContentManager
75773bb7 GameModeContentManagerInstance
17eff517 GameModeItemList
ccc30b24 GameModeItemListInstance
89ce9636 GameModeMapData
59876351 GameModeMapDataInstance
f58450d9 GameMutatorExpansions
2e22fe26 GameMutatorExpansionsInstance
bcd573f7 GameplayConfig
fc48f104 GameplayConfigInstance
b414c51a GameplayFeatureToggles
da5e2485 GameplayFeatureTogglesInstance
da9e5c0c GdsMapObject
b43441ae GearData
f693c639 GearDataInstance
27dd6361 GearSkinUpgrade
d152733e GearSkinUpgradeInstance
8bed760b GenericMapPlaceable
97da5178 GenericMapPlaceableInstance
62e76455 GenericSplineMovementSpec
e4efd662 GenericSplineMovementSpecInstance
5d885176 GetKeyValueInCustomTableBlock
e4333491 GetKeyValueInCustomTableBlockInstance
387c1e21 GetSizeOfCustomTableBlock
c7e61ffe GetSizeOfCustomTableBlockInstance
86e40105 GlobalAudioDataProperties
219579d2 GlobalAudioDataPropertiesInstance
71b2dfd7 GlobalPerLevelStatsFactor
3b5b77e4 GlobalPerLevelStatsFactorInstance
0be608fc GlobalResourceResolver
5cc71d27 GlobalResourceResolverInstance
f3a72633 GlobalStatsUIData
d0f4ae30 GlobalStatsUIDataInstance
96ccf33d GravityHeightSolver
7db7e17a GravityHeightSolverInstance
f7ae5e16 HasAllSubRequirementsCastRequirement
60221531 HasAllSubRequirementsCastRequirementInstance
02a95e2f HasAtleastNSubRequirementsCastRequirement
384b4fac HasAtleastNSubRequirementsCastRequirementInstance
5b1f9358 HasBuffCastRequirement
cd1cbb83 HasBuffCastRequirementInstance
e4a9de8e HasBuffData
8afb0060 HasBuffDynamicMaterialBoolDriver
64a6789b HasBuffDynamicMaterialBoolDriverInstance
6abd6101 HasBuffRequirement
8ae908de HasBuffRequirementInstance
721eafde HasGearDynamicMaterialBoolDriver
f8de0fa9 HasGearDynamicMaterialBoolDriverInstance
eca62780 HasNNearbyVisibleUnitsRequirement
a15ff8bb HasNNearbyVisibleUnitsRequirementInstance
fbbf0599 HasSkillPointRequirement
671d7be6 HasSkillPointRequirementInstance
571d3ae6 HasUnitTagsCastRequirement
47c90e81 HasUnitTagsCastRequirementInstance
d86512e7 HealthDynamicMaterialFloatDriver
361a91b4 HealthDynamicMaterialFloatDriverInstance
67e6da7d HealthbarImageInfo
5f6b95ba HealthbarImageInfoInstance
3a12ea15 HeightSolverType
c4a09c22 HeightSolverTypeInstance
51687c8c HermiteSplineInfo
d9f28637 HermiteSplineInfoInstance
dc0843de HomeguardSkinUpgrade
61e623a9 HomeguardSkinUpgradeInstance
ffd00de2 HudAbilityPromptData
e4f6101d HudAbilityPromptDataInstance
a2d5062c HudBannerData
9b976ed7 HudBannerDataInstance
f76fa580 HudChatData
891b36bb HudChatDataInstance
795ddf5a HudCheatMenuData
c50fcfc5 HudCheatMenuDataInstance
e7fb78f9 HudColorData
dc1c6d46 HudColorDataInstance
d3c7a1a8 HudElementalSectionUIData
91e89353 HudElementalSectionUIDataInstance
1a4105c8 HudEmotePopupData
917bcf73 HudEmotePopupDataInstance
581f117b HudEncounterData
00e23f68 HudEncounterDataInstance
ead298f0 HudFeedbackDamageData
91a422ab HudFeedbackDamageDataInstance
d4076b6b HudGameModeScoreData
af9cfdd8 HudGameModeScoreDataInstance
4cc75a6f HudGearSelectionUIData
7fcfdbec HudGearSelectionUIDataInstance
0dfc7de5 HudHealthBarBurstData
225411b2 HudHealthBarBurstDataInstance
fd17d903 HudHealthBarBurstHealData
247b54c0 HudHealthBarBurstHealDataInstance
0519bdc1 HudHealthBarData
37014a9e HudHealthBarDataInstance
37e7a626 HudHealthBarDefenseIconData
3f993dc1 HudHealthBarDefenseIconDataInstance
2cb0f02e HudHealthBarDefenseModifierData
61e7c4b9 HudHealthBarDefenseModifierDataInstance
3db9525f HudHealthBarFadeData
0062641c HudHealthBarFadeDataInstance
1e07b235 HudHealthBarProgressiveTickData
92c02342 HudHealthBarProgressiveTickDataInstance
ff64dacf HudInputBoxData
ad42f74c HudInputBoxDataInstance
7e9e8de9 HudLevelUpData
8c682fb6 HudLevelUpDataInstance
c31e29fe HudMenuTransitionData
52976cc9 HudMenuTransitionDataInstance
d67ac5be HudPingData
7470cf89 HudPingDataInstance
5904728c HudRadialWheelData
eb573c37 HudRadialWheelDataInstance
a76e64c1 HudReplayData
d4e3d19e HudReplayDataInstance
0d2510e8 HudReplaySliderData
fb248d93 HudReplaySliderDataInstance
dcc40351 HudReplaySliderIconData
8c45c7ee HudReplaySliderIconDataInstance
b196e259 HudScaleSettingsData
f2063fa6 HudScaleSettingsDataInstance
4edf3b68 HudSpellSlotResetFeedbackData
24698813 HudSpellSlotResetFeedbackDataInstance
7ab91282 HudTunables
53583ebd HudTunablesInstance
3766bb8e HudVoiceChatData
f4d6dd19 HudVoiceChatDataInstance
ae321e88 IBoolGet
bd415133 IBoolGetInstance
5c71eb26 ICastRequirement
6a0722c1 ICastRequirementInstance
de0b1bc8 ICharacterSubcondition
22b2a573 ICharacterSubconditionInstance
3ff90079 IContextualAction
209364c6 IContextualActionInstance
cab0d4ec IContextualCondition
5b253297 IContextualConditionInstance
225bf976 IContextualConditionSpell
76d3dc91 IContextualConditionSpellInstance
da61c4de IDynamicMaterialBoolDriver
434ec4a9 IDynamicMaterialBoolDriverInstance
3c25755e IDynamicMaterialDriver
dc880529 IDynamicMaterialDriverInstance
40fb7cc4 IDynamicMaterialFloatDriver
fe9c4c9f IDynamicMaterialFloatDriverInstance
a6d3b432 IFloatGet
d3e7a0ad IFloatGetInstance
fd13cad8 IFunctionGet
d5b06303 IFunctionGetInstance
c214849f IIntGet
e8edc65c IIntGetInstance
ecf76724 IMaterialDef
044f45ff IMaterialDefInstance
20a178b8 IResource
48f24ce3 IResourceInstance
e9212d72 IResourceResolver
aab6cced IResourceResolverInstance
2435bbc2 IRunFunctionBlock
199314fd IRunFunctionBlockInstance
3c2ab5b0 IScriptBlock
f41ef26b IScriptBlockInstance
c621aa68 IScriptCondition
3a2ad713 IScriptConditionInstance
d43f1a44 IScriptPreload
3f461a1f IScriptPreloadInstance
f6e711b0 IScriptValueGet
c88ace6b IScriptValueGetInstance
49e67dec ISecondaryResourceDisplayData
b3c6fb97 ISecondaryResourceDisplayDataInstance
0bbc515c IShaderDef
9eec5787 IShaderDefInstance
422cd114 ISkinUpgradeObject
4778292f ISkinUpgradeObjectInstance
e4c5373e ISpellCalculationPart
6da7f109 ISpellCalculationPartInstance
65ce18c8 ISpellRankUpRequirement
dbb84273 ISpellRankUpRequirementInstance
2dfaef4d ISplineInfo
38a2daca ISplineInfoInstance
c3489645 IStatStoneLogicDriver
8ce96212 IStatStoneLogicDriverInstance
458e7117 IStringGet
