e55245ad Characters/Aatrox
08f53c0e Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_AA_Trail_03
7dfdc390 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Dance_Ground
33e00cc8 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Death_ambers
9b15a1f3 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_E_Active_buff
70e0af2f Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_E_Dash
ceb3aaa7 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_E_Dash2
b7e55bd7 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_P_Activate
3e038f05 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_P_Attack_trail
a82c1ec7 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_P_Hit_Tar
70f44075 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_P_Ready
152a3534 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Hit_Tar
5225c1fe Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Indicator_01
1011576d Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Indicator_01_Ally
5125c06b Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Indicator_02
7cee65fa Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Indicator_02_Ally
5025bed8 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Indicator_03
71ccb847 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Indicator_03_Ally
a824d37f Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Sweet_hit_tar
e7e942f9 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Trail_01
e4e93e40 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Trail_02
e5e93fd3 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_Trail_03
56ce1cff Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_cas1
57ce1e92 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_cas2
58ce2025 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Q_cas3
36332866 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_R_Attack_01
353326d3 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_R_Attack_02
5152bbd2 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_R_Fear
646d8146 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_R_Halo
20da8564 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_R_Revive_Diration_Sword
df3ecade Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_R_Revive_Duration
a5b4a54f Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_R_Revive_end
d58452ae Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_R_SpeedBuff
1eb26fe8 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Recall_Beam
2db81d00 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Recall_Ground
45a87e36 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Recall_Hand_glow
c84a7191 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Recall_Weapon_glow
98827781 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_Taunt_Ground
43f604d6 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_W_Beam_Tar
df64207e Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_W_Beam_Tar_Break
252ecbb4 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_W_Beam_Tar_Pull
1e29697e Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_W_Cas
d5ef344e Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_W_Core
090f286e Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_W_Core_Area
8390fb92 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_W_Hand_glow_cas
2526e826 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_W_Hit_Tar
e9bec540 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_W_mis
f71f35ac Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_AA_Crit_Hit_Tar
b4e5a215 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_AA_Crit_Trail
8159b7f4 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_AA_Hit_Tar01
8459bcad Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_AA_Hit_Tar02
8fa17414 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_AA_Trail_01
92a178cd Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_AA_Trail_02
91a1773a Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_AA_Trail_03
d6bd9780 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Death_embers
0d276607 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_E_Active_buff
2743c5e6 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_E_Buf_Sword
f14ab72b Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_E_Dash
f19e3c5b Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_E_Dash2
a9d6e770 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_L_Foot_01
34a521c3 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_P_Activate
438c4879 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_P_Attack_trail
baf19653 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_P_Hit_Tar
e9c49739 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_P_Ready
aa477790 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Hit_Tar
984bb922 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Indicator_01
92d4c4e1 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Indicator_01_Ally
974bb78f Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Indicator_02
4ada97ce Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Indicator_02_Ally
964bb5fc Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Indicator_03
e940745b Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Indicator_03_Ally
6f1fafb3 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Sweet_hit_tar
8d93caed Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Trail_01
8a93c634 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Trail_02
8b93c7c7 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_Trail_03
5fefff7b Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_cas1
60f0010e Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_cas2
61f002a1 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_cas3
c4aca05a Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Q_knockup_Hexagon_child
544ba848 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_R_Engine_01
29fd1bee Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_R_Fear
48f2122a Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_R_Foot_01
d7478ae0 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_R_Revive_Diration_Sword
4d34d742 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_R_Revive_Duration
762b524b Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_R_Revive_end
fc8a3512 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_R_SpeedBuff
f4ee7418 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_Recall_Sword
7716fa7a Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_W_Beam_Tar
ef1f46b2 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_W_Beam_Tar_Break
1a0c24b0 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_W_Beam_Tar_Pull
479563ba Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_W_Cas
6a8692d2 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_W_Core
67f120aa Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_W_Core_Area
4fed9224 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_W_Core_End
7eaa5d5e Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_W_Hand_glow_cas
b97bb804 Characters/Aatrox/Skins/Skin2/Particles/Aatrox_Skin02_W_mis
bd1694f3 Characters/Aatrox/Skins/Skin3/Particles/Aatrox_Skin03_E_Active_buff
3b1b182f Characters/Aatrox/Skins/Skin3/Particles/Aatrox_Skin03_E_Dash
cae78b75 Characters/Aatrox/Skins/Skin3/Particles/Aatrox_Skin03_P_Ready
ddf96250 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_AA_Crit_Hit_Tar
ee860311 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_AA_Crit_Trail
e7c86c70 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_AA_Hit_Tar01
eac87129 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_AA_Hit_Tar02
0bf1f788 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_AA_Trail_01
0ef1fc41 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_AA_Trail_02
0df1faae Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_AA_Trail_03
d9f1cb28 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Death_ambers
d2c5f413 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_E_Active_buff
c29ed98f Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_E_Dash
1d10c487 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_E_Dash2
281f95b7 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_P_Activate
57b0e9e7 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_P_Hit_Tar
ecc7bfd5 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_P_Ready
f8a53a54 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Hit_Tar
b85e251e Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Indicator_01
d3609d4d Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Indicator_01_Ally
b75e238b Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Indicator_02
598bf3da Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Indicator_02_Ally
b65e21f8 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Indicator_03
b2bea2a7 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Indicator_03_Ally
5ec5875f Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Sweet_hit_tar
5b372f99 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Trail_01
58372ae0 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Trail_02
59372c73 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_Trail_03
41d9c5df Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_cas1
42d9c772 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_cas2
43d9c905 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Q_cas3
1df2e786 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_R_Attack_01
1cf2e5f3 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_R_Attack_02
bc5f2e32 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_R_Fear
8e854cc4 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_R_Revive_Diration_Sword
2dcba47e Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_R_Revive_Duration
e4ef1d6f Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_R_Revive_end
b346878e Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_R_SpeedBuff
f09aaff6 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_Beam_Tar
2afd905e Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_Beam_Tar_Break
394d0814 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_Beam_Tar_Pull
e82e1ade Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_Cas
7b52d32e Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_Core
576b2b8e Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_Core_Area
f75128d0 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_Core_End
1b167af2 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_Hand_glow_cas
282ad646 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_Hit_Tar
b1490da0 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_W_mis
2bb2ba6e Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Z_DianaMaskGlow
686529bc Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Z_EyeGlow
5378caab Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Z_FloorSlash
9d1d3b3a Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Z_FloorSlashDirt
e90e7a44 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Z_RecallBuff
921a51b3 Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Z_RecallHits
4c22d3cc Characters/Aatrox/Skins/Skin7/Particles/Aatrox_Skin07_Z_RecallMaskTrails
c6887da4 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_AA_Crit_Hit_Tar
02e4c19d Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_AA_Crit_Trail
79f1b0bc Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_AA_Hit_Tar01
7cf1b575 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_AA_Hit_Tar02
5533208c Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_AA_Trail_01
58332545 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_AA_Trail_02
573323b2 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_AA_Trail_03
50010d74 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Death_ambers
e4ac4f6f Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_E_Active_buff
58296633 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_E_Dash
ca2b9393 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_E_Dash2
2e5c9258 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_E_Dash_trail
6398664b Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_P_Activate
475ee711 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_P_Attack_trail
c7521a6b Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_P_Hit_Tar
d5aa6671 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_P_Ready
daadbe28 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_Hit_Tar
618e0c2a Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_Indicator_01
608e0a97 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_Indicator_02
5f8e0904 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_Indicator_03
88b4f2fb Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_Sweet_hit_tar
75b407f5 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_Trail_01
72b4033c Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_Trail_02
73b404cf Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_Trail_03
1e4f7c53 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_cas1
1f4f7de6 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_cas2
204f7f79 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Q_cas3
e912685a Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_R_Attack_01
e81266c7 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_R_Attack_02
04c2fcc6 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_R_Fear
d3a614a8 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_R_Revive_Diration_Sword
55f5b51a Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_R_Revive_Duration
af9cbf53 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_R_Revive_end
438fab7a Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_R_SpeedBuff
768a1a52 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_Beam_Tar
dd593aca Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_Beam_Tar_Break
07c5aac8 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_Beam_Tar_Pull
e2a39c62 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_Cas
d7b6c27a Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_Core
54cb0852 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_Core_Area
6dc757ac Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_Core_End
79ca4346 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_Hand_glow_cas
2b624e62 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_Hit_Tar
227c9eac Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_W_mis
00340242 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Z_DianaMaskGlow
56de3a48 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Z_EyeGlow
cfbf2477 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Z_FloorSlash
a55054a6 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Z_FloorSlashDirt
bf96d74b Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Z_IdleGlow
4157aa11 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Z_IdleSparkles
291848a8 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Z_RecallBuff
e550cda7 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Z_RecallHits
31635ef0 Characters/Aatrox/Skins/Skin8/Particles/Aatrox_Skin08_Z_RecallMaskTrails
056322dd Characters/Aatrox/Spells/AatroxBasicAttack
6a0ffe3d Characters/Aatrox/Spells/AatroxBasicAttack2
690ffcaa Characters/Aatrox/Spells/AatroxBasicAttack3
ba77ec9d Characters/Aatrox/Spells/AatroxCritAttack
f5774ad8 Characters/Aatrox/Spells/AatroxE
890dbfe6 Characters/Aatrox/Spells/AatroxPassive
38b41712 Characters/Aatrox/Spells/AatroxPassiveAttack
418fb738 Characters/Aatrox/Spells/AatroxPassiveDebuff
7af4b5a5 Characters/Aatrox/Spells/AatroxPassiveReady
09776a54 Characters/Aatrox/Spells/AatroxQ
4cfc7e92 Characters/Aatrox/Spells/AatroxQ2
4dfc8025 Characters/Aatrox/Spells/AatroxQ3
1fe7f602 Characters/Aatrox/Spells/AatroxQChannel1
b1d86988 Characters/Aatrox/Spells/AatroxQWrapperCast
643b9389 Characters/Aatrox/Spells/AatroxRAbility
aa9e630c Characters/Aatrox/Spells/AatroxRAttack1
ad9e67c5 Characters/Aatrox/Spells/AatroxRAttack2
082ffa8a Characters/Aatrox/Spells/AatroxRMovementSpeedManager
37493d68 Characters/Aatrox/Spells/AatroxRRevive
0777672e Characters/Aatrox/Spells/AatroxW
9b42be17 Characters/Aatrox/Spells/AatroxWSlow
b086171e Characters/Ahri
1628d4b9 Characters/Ahri/CAC/AhriSkin14
542dd647 Characters/Ahri/CAC/Ahri_Base
55961270 Characters/Ahri/Skins/Skin0/Particles/Ahri_Base_BA_mis
31fe0fdc Characters/Ahri/Skins/Skin0/Particles/Ahri_Base_BA_tar
98b2b78e Characters/Ahri/Skins/Skin0/Particles/Ahri_Base_E_buf
1ec385aa Characters/Ahri/Skins/Skin0/Particles/Ahri_Base_E_cas
