80333f35 10Year
9eaac23a 3116
91aaadc3 3119
09b22670 3121
0cb22b29 3122
94b77e6f 3142
93b77cdc 3143
90b77823 3146
13b474c5 3153
0fb46e79 3157
a1bc1014 3161
9dbc09c8 3165
9ab9c678 3172
95b9be99 3179
8d995e56 3181
8b971c99 3193
cbaf229c 3222
555ed2a9 3430
d5f87a91 3504
d1f87445 3508
65d27dc9 3742
98fe8e5b 3814
156febb8 3StarAoEDamage
829e6cec 3StarShieldValue
d89e103d 4004
d79e0eaa 4005
ce9bc1e8 4010
0ee9886a 4401
0ce98544 4403
af0554ed 4628
ae05535a 4629
20023539 4637
1efff50f 4644
1dfff37c 4645
0692ef0e 4StarShotDamage
dd2627f2 4Tooltip
e5265b9c 6333
8f0b673a 6609
80091106 6616
8006d26f 6664
1403e9d4 6672
1503eb67 6673
1303e841 6675
1003e388 6676
6675e394 6691_Stealth_Start
14f4e0dd 6693
0ef4d76b 6695
0ff4d8fe 6696
2a683ea4 6Tooltip
cfacb84a 8001
3cb1e10f 8020
e11907d7 AABonusDamage
4724fc58 AD
65722d9c ADAPBase
96ca059f ADAPPerCast
5119f0ff ADBonus
df962703 ADBoost
a3814259 ADBuff
6f82dfe9 ADCoefficient
e3e8469a ADContribution
44a32c79 ADDamage
295b5980 ADDamageCalc
b4b1c79b ADGain
fe35e71a ADGained
1cc4af97 ADModified
fcfce396 ADMult
d3bc9e0c ADPerLegendary
8130678d ADPerRank
f1d43b01 ADPerStack
d9291863 ADPerStarLevel
bc3d5e29 ADPercent
382d671b ADRatio
6965dfde ADRatioBonus
71cf0419 ADRatioForAOE
6a5c7033 ADRatioMax
80701a8d ADRatioMin
ecb4e82f ADRatioPerTick
02c8656b ADRatioTT
8126d356 ADRequiredTooltipOnly
e476601d ADScaling
94b55f9b ADThreshold
58b72918 ADToHPRatio
5eb5fde9 ADValue
08a84200 ADandAP
fe70e0f6 ADandAPPerTick
cfa29649 AHCapstone
1b25585c ALT
3ef0480f AMMORECHARGETIME
f9bc7f3e AOEADPercent
8e6d2390 AOEDamageModifier
22116b50 AOEPercentAD
5b251bd4 AP
b19c3b58 APAmount
6bac277d APBuff
8478a4c5 APDamage
a7cf607b APFromMana
b3b41896 APGained
2afd498b APMultiplier
ebcfdef4 APPerCast
b4a9e7a4 APPerGlory
5deb4eb2 APPerInterval
9b7d5a0d APPerManaRegen
6a7405a1 APPerRank
e75ed4cd APPerStack
a68d353d APPercent
e30c799f APRatio
0c6e5c66 APRatioFullDuration
3a8db3cc APRatioPer100BonusHP
47b9abba APRatioPerSecond
ad23e4de APRatioPerStack
f328829b APRatioPerTick
86bcfb2e APRatioTick
e78fad4a APRatioToPercentDamage
eaef1b9e APRatioTooltip
927ebb75 APShield
438db135 APToCritConversion
fa127f0d APValue
8f061404 ARAM
8cfa2136 ARAMHealthPickup
52f10ff2 ARAMHealthPickup_AOE
41cd4d95 ARAMHealthPickup_Dawn
225706b3 ARAMHealthPickup_Night
9df3e612 ARAM_Hexgate_Base_ClosePortal
dbac4535 ARAM_Hexgate_Base_ClosePortal_Enemy
c67c3656 ARAM_Hexgate_Base_OpenLoop
306512d1 ARAM_Hexgate_Base_OpenLoop_Enemy
18e78de8 ARAM_Hexgate_Base_Outgoing_Arrow
7e314946 ARAM_Hexgate_Base_Portal
db7a7d37 ARAM_Hexgate_Base_PortalGroundLoop
828fde16 ARAM_Hexgate_Base_PortalIncoming
c4797891 ARAM_Hexgate_Base_PortalIncoming_Enemy
f298a746 ARAM_Hexgate_Base_PortalOpen
9970e1c1 ARAM_Hexgate_Base_PortalOpen_Enemy
a37109c0 ARAM_Hexgate_Base_PortalOutgoing
29f79193 ARAM_Hexgate_Base_PortalOutgoing_Enemy
4b40a76d ARAM_Hexgate_Base_Timer_Ring_10s
daa4a38c ARAM_Hexgate_Channel_Ally
f63b3b1d ARAM_Hexgate_Channel_Complete_Incoming_Ally
a17c5629 ARAM_Hexgate_Channel_Complete_Incoming_Enemy
536b1587 ARAM_Hexgate_Channel_Complete_Outgoing_Ally
fc9f2eab ARAM_Hexgate_Channel_Complete_Outgoing_Enemy
ba3d9ac2 ARAM_Hexgate_Channel_Enemy
b9823ea3 ARAM_Hexgate_Exit_Base_ClosePortal
73b47e59 ARAM_Hexgate_Exit_Base_Incoming_Arrow
a2999469 ARAM_Hexgate_Exit_Base_OpenLoop
22e976ee ARAM_Hexgate_Exit_Base_OpenLoop_Enemy
087499ed ARAM_Hexgate_Exit_Base_Portal
1bd29dd1 ARAM_Hexgate_Exit_Base_PortalIncoming
e0b7a4d6 ARAM_Hexgate_Exit_Base_PortalIncoming_Enemy
f23deaf1 ARAM_Hexgate_Exit_Base_PortalOpen
9a054cb6 ARAM_Hexgate_Exit_Base_PortalOpen_Enemy
d08b6763 ARAM_Hexgate_Exit_Base_PortalOutgoing
d6a3daa8 ARAM_Hexgate_Exit_Base_PortalOutgoing_Enemy
57f68ae7 ARAM_Hexgate_Indicator_Beam
c2552e74 ARAM_Hexgate_Mis_Ally
0931ac1a ARAM_Hexgate_Mis_Enemy
3fe850f3 ARAM_Hexgate_Timer_Ring_10s
48d7412a ARAM_Hexgate_Unit_Destination_Ally
fc4c5160 ARAM_Hexgate_Unit_Destination_Enemy
6399c7f4 ARAM_InWallParticle
8d1ff293 ARReductionAmount
a5d9189b ARSR
5e25208d AS
f07287f4 AS1
f3728cad AS2
f2728b1a AS3
ed72833b AS4
dbe35112 ASBoostMax
c5cfa6b8 ASBoostMin
f64fe0b4 ASBuff
159f78f0 ASCENSION
6e424bac ASCalc
da2cc645 ASDuration
fe9405b3 ASMelee
57b13c7a ASMeleeMaxTOOLTIP
81727870 ASMeleeMinTOOLTIP
04d91fc1 ASModDamageToDeal
30e07458 ASModdedMS
96a33e3a ASModified
db64e797 ASMult
92b5a83e ASMultiplier
be2843da ASOnDeath
99b089f2 ASPerRank
43afcd64 ASPerStack
fab7c982 ASPercent
a1f7d79a ASRanged
99bcde37 ASRangedMaxTOOLTIP
41fd2cb5 ASRangedMinTOOLTIP
adb7481c ASRatio
54fa19c9 ASReductionPct
f6e337bc ASSASSINATE
c2d61920 ASSlow
c1e2c320 A_Attack1
e2a8e9cf A_Attack1_to_Idle
6984e1b5 A_Attack1_to_Run1
6684dcfc A_Attack1_to_Run2
c4e2c7d9 A_Attack2
9a77147a A_Attack2_to_Idle
7a6cd17f A_Idle_In
ffda2e55 A_Run_Fast
d0217b7d A_Run_Homeguard
d911fe6c A_Spell1_Activate
929d3d69 A_Spell1_Attack1_-90
a294f384 A_Spell1_Attack1_180
b161fbfc A_Spell1_Attack1_90
f932b2df A_Spell1_Attack1_Fast
0cab95bc A_Spell1_Attack2_-90
007ca7a1 A_Spell1_Attack2_180
6b07fdab A_Spell1_Attack2_90
7d589e47 A_Spell1_Idle
68afeba7 A_Spell1_Idle_In
a87edc9e A_Spell1_Run
40ad62e0 A_Spell1_Run_In
d04c86cd A_Spell2
08622d66 A_Spell2_to_Idle
d7977f39 A_Spell2_to_Run
b4e9f9e4 Aatrox_AA_Crit_Hit_Tar
f90433dd Aatrox_AA_Crit_Trail
c705f0cc Aatrox_AA_Trail_01
ca05f585 Aatrox_AA_Trail_02
c905f3f2 Aatrox_AA_Trail_03
28877e44 Aatrox_Dance_Ground
3cdd0eb4 Aatrox_Death_ambers
ad8bf4af Aatrox_E_Active_buff
5d147eae Aatrox_E_Buf_Sword
03860473 Aatrox_E_Dash
ccf8b253 Aatrox_E_Dash2
664a4598 Aatrox_E_Dash_trail
369dbc1d Aatrox_E_Heal
45f48a8b Aatrox_P_Activate
2e7dc551 Aatrox_P_Attack_trail
c98bf144 Aatrox_P_Debuff
cacdc6ab Aatrox_P_Hit_Tar
3f2a06b1 Aatrox_P_Ready
4c9f7541 Aatrox_Passive_Sheathe_Sword
b292aa68 Aatrox_Q_Hit_Tar
08387c6a Aatrox_Q_Indicator_01
7e3c2699 Aatrox_Q_Indicator_01_Ally
07387ad7 Aatrox_Q_Indicator_02
b6b89046 Aatrox_Q_Indicator_02_Ally
06387944 Aatrox_Q_Indicator_03
7aa2d4f3 Aatrox_Q_Indicator_03_Ally
01ab733b Aatrox_Q_Sweet_hit_tar
788a0735 Aatrox_Q_Trail_01
758a027c Aatrox_Q_Trail_02
768a040f Aatrox_Q_Trail_03
1d6dd313 Aatrox_Q_cas1
1e6dd4a6 Aatrox_Q_cas2
1f6dd639 Aatrox_Q_cas3
8999e5b2 Aatrox_Q_knockup_Hexagon_child
adf89a9a Aatrox_R_Attack_01
acf89907 Aatrox_R_Attack_02
b29a0406 Aatrox_R_Fear
245c169a Aatrox_R_Halo
79522de8 Aatrox_R_Revive_Diration_Sword
63912f5a Aatrox_R_Revive_Duration
c8826793 Aatrox_R_Revive_end
a08494ba Aatrox_R_SpeedBuff
4b2962bc Aatrox_Recall_Beam
390c324c Aatrox_Recall_Ground
fc4f958a Aatrox_Recall_Hand_glow
c4a1ed95 Aatrox_Recall_Weapon_glow
15c521b2 Aatrox_Skin02_Recall_Sword
70d7247b Aatrox_Skin31_Idle_Hand_01
71d7260e Aatrox_Skin31_Idle_Hand_02
72d727a1 Aatrox_Skin31_Idle_Hand_03
d394362f Aatrox_Skin31_Idle_spark
9ed342b4 Aatrox_Skin31_Idle_spark01
0fb3d0fd Aatrox_Taunt_Ground
d4169892 Aatrox_W_Beam_Tar
aeabc40a Aatrox_W_Beam_Tar_Break
94355808 Aatrox_W_Beam_Tar_Pull
be06f3a2 Aatrox_W_Cas
f792bbba Aatrox_W_Core
e3dc3792 Aatrox_W_Core_Area
a6431cec Aatrox_W_Core_End
62112686 Aatrox_W_Hand_glow_cas
b1b7bba2 Aatrox_W_Hit_Tar
005bf1ec Aatrox_W_mis
b3e1a182 Aatrox_Z_DianaMaskGlow
a39f5d88 Aatrox_Z_EyeGlow
508e82b7 Aatrox_Z_FloorSlash
768419e6 Aatrox_Z_FloorSlashDirt
ea7c1b8b Aatrox_Z_IdleGlow
dded8951 Aatrox_Z_IdleSparkles
dc5332e8 Aatrox_Z_RecallBuff
81b96be7 Aatrox_Z_RecallHits
74fa6c30 Aatrox_Z_RecallMaskTrails
19d392bb AbilityHasteMythicPassive
7f1304b2 AbilityPower
534c4ace AbilityPowerGoldMax
7c408434 AbilityPowerMax
6a2b4d26 AbilityPowerMin
c08bc0df AbilityPowerPerGold
a593637d AbilityResourceThresholdIndicator_Moonlight
966831c0 AbilityScaleDamage
8be259f9 Absorbed
1f6bc762 AccelerandoAHPerStack
230eacfb ActionMask
3f434070 Activate
d9547c40 ActivationDelay
ef1820ba ActivationDistance
d975992f Active
08786119 ActiveADRatio
0b31873d ActiveADToArmorRatio
682f991b ActiveAPToMRRatio
67b851b1 ActiveBADRatio
d928f29f ActiveBaseDamage
6721e4a1 ActiveBaseResists
1e8d73fe ActiveDamage
89361873 ActiveDamageThatCanCrit
cc1d21f3 ActiveExecutePercent
cb10fbc0 ActiveItemAHPerStack
43c1f5d7 ActiveMagicDamage
481ba086 ActiveMaxDamage
3ff396be ActiveMaxStacks
10364260 ActivePerStackAmp
f8c35e47 ActiveTotalExecuteDamage
c84577bb ActualBoomTooltip
2d3bdaf2 ActualCooldown
986561b6 ActualDamage
8298075e AdaptiveAD
969826da AdaptiveAP
6f039626 AdaptiveForce
14d5f8b0 AdditionalADRatio
3be361c4 AdditionalBaseDamage
9b62b1ba AdditionalBonusCalc
bf647962 AdditionalBonusDamage
a4948451 AdditionalChunkHealing
026fdafd AdditionalDamage
43550802 AdditionalGold
da19ba33 AdditionalManaPercentage
a0dcaa4c AdditionalMovementSpeed
9738309b AdditionalSlowPercentAtMax
7956b39f AdditionalStunDurationOverTime
7a54fa42 AdditionalTargets
06a6a0a5 Additive
dc225a69 Additive_Buffbone
48198e2b Addturn
8ec1277e Adjust
8c9a056d AegisMagicResist
23c6a259 AfterburnerTimeTooltip
908e2cdf AftershockAPRatio
fadb2e80 AftershockDamage
2cd62ab4 AftershockMinionMulti
3fb502ed Aggro
dd631e80 Aggro_Idle
5e9bec6f Ahri_BA_mis
52033543 Ahri_BA_tar
dc5a39d7 Ahri_Boots_HG_Avatar
20239a64 Ahri_Boots_Homeguard
49a30a12 Ahri_Death_01
8b2eae78 Ahri_EM_laugh_01
86793cbf Ahri_E_buf
fe3db783 Ahri_E_cas
be632239 Ahri_E_mis
9ef9fe3d Ahri_E_tar
54aa3fd2 Ahri_HandGlow
1d05f47a Ahri_HandPixels
7e5d94f2 Ahri_I_Orb_mat
32f020e7 Ahri_I_Orb_mat_child
07958918 Ahri_I_tailDust
1b0bbcbf Ahri_Idle1
1f3436c7 Ahri_Orb
db30dfb9 Ahri_Orb_cas
5421f896 Ahri_P
c442a7b9 Ahri_P_Heal
b8cf5144 Ahri_P_SoulCrusher_buf_01
e437e482 Ahri_P_tar
3c7ee03f Ahri_Q_Cas
0ae4bb15 Ahri_Q_Speed
41087c9d Ahri_Q_mis
9cdc6ff0 Ahri_Q_mis_02
364c5db1 Ahri_Q_tar
e3b92bd4 Ahri_Q_tar_02
cb2f43ef Ahri_R_BodyOverlay_01
11373c32 Ahri_R_Mis_child01
79ef0960 Ahri_R_Ready_tar
4b6eba64 Ahri_R_Tar
e93cb957 Ahri_R_Tumblekick_tar_02
23610036 Ahri_R_cas
3ed79638 Ahri_R_mis
07b5b707 Ahri_R_mis_02
d8bfa33e Ahri_Recall_Arm_L01
bf0854bc Ahri_Recall_Arm_R01
a2c0b971 Ahri_Recall_Chest_01
5b5442ae Ahri_Recall_Heart_01
ec8f168e Ahri_Recall_Leg_01
eb8f14fb Ahri_Recall_Leg_02
f942c7a0 Ahri_Recall_Love
cada395e Ahri_Recall_PixelBurst
cc316928 Ahri_Recall_PowerBeam_01
8c6f90a4 Ahri_Recall_Screen
e3f28805 Ahri_Recall_Sparkles_child01
e93d1c0b Ahri_Recall_Transform_02
b57e4c71 Ahri_Recall_swirl_child01
b27e47b8 Ahri_Recall_swirl_child02
b37e494b Ahri_Recall_swirl_child03
4cac2f14 Ahri_Respawn_01
b6e2ad8f Ahri_Scarf
1cebba5e Ahri_Skin01_Dance_GroundColors
9448d0b2 Ahri_Skin14_Z_Dance_GroundLights
5622376a Ahri_Skin14_Z_Dance_Ripple
6a6eeb95 Ahri_Skin15_E_ChildOrb_1
14df3ef4 Ahri_Skin15_E_ChildrenTrails_1
ac826c81 Ahri_Skin15_Q_ChildOrb_1
ed32ba68 Ahri_Skin15_Q_ChildrenTrails_1
a642d986 Ahri_Skin15_R_ChildOrb_1
cc552267 Ahri_Skin15_R_ChildrenTrails_1
50c02647 Ahri_Skin15_R_Missile_ChildOrb_1
8547363a Ahri_Skin15_R_Missile_ChildrenTrails_1
126d911b Ahri_Skin15_Recall_Bubbles
f17b42ab Ahri_Skin15_Recall_Orb_Projectors
a054be34 Ahri_Skin15_Recall_Popstar_Cohesive
f3245828 Ahri_Skin15_Recall_Tails_Open
a51d62d4 Ahri_Skin15_Recall_Tails_Opening_Small
abde4a27 Ahri_Skin15_Taunt_Flash
46394013 Ahri_Skin16_Idle_Tails
9741ebbb Ahri_TailColor
65a54f55 Ahri_TailPixels
c1e4e73e Ahri_Taunt
ac1fcd31 Ahri_W_cas
ebfa627b Ahri_W_mis
cb2a6252 Ahri_W_mis_02
cc2a63e5 Ahri_W_mis_03
c52a58e0 Ahri_W_mis_04
85608efa Ahri_W_mis_P02
8660908d Ahri_W_mis_P03
936bd25d Ahri_W_mis_child01
443f9c7f Ahri_W_tar
68443eaf Ahri_W_weap_cas
1a6af3e4 Ahri__Tumblekick_tar_01
3bcf3595 Ahri_dance
3ba5bf91 Ahri_recall_pulse
e8f8c489 AirPunch
113fcb24 Air_Body
639b3c4f Akali_BA_Line_strike
0c445590 Akali_BA_Swipe
1089f43d Akali_BA_Swipe_2
85992c39 Akali_BA_Tar
d3a4f52c Akali_Crit_Tar
34e0c5c4 Akali_Dance_Mask
f78d2087 Akali_Dragon
fd5ccbfd Akali_E_Dash_Dust
67e38f4a Akali_E_Dash_Snow
579c2858 Akali_E_Dash_Water
e7d64196 Akali_E_Enemy_Indicator
cfa270b6 Akali_E_Enemy_Indicator_Animate
65bc66ba Akali_E_Enemy_Indicator_Animate_Red
e64baf23 Akali_E_Enemy_Indicator_Animate_child
5b19da43 Akali_E_Enemy_Indicator_Animate_child_Red
2dca26da Akali_E_Enemy_Indicator_Red
ffd2e6ec Akali_E_Enemy_Indicator_Smoke
1706dff8 Akali_E_Enemy_Indicator_Smoke_red
c1fc4f1d Akali_E_HasHit_Shuriken
33ac6667 Akali_E_Mis
cdc78009 Akali_E_Missed_Ground
f06cf682 Akali_E_Missed_Ground_Dust
2688c28d Akali_E_Missed_Ground_Snow
9e82712d Akali_E_Missed_Ground_Water
8e028f69 Akali_E_Run
40403122 Akali_E_Run_Dust
8fa8b22d Akali_E_Run_Snow
7e42ae4d Akali_E_Run_Water
f41a6d9b Akali_E_Tar
6be85dff Akali_E_Trail_02
f3f67d47 Akali_Heal_tar_child
b2436ea5 Akali_I_IdleSparkles
367de337 Akali_Idle_Fire
708707f6 Akali_Idle_Glow
5c745021 Akali_Idle_Glow_Kama
11d6d09c Akali_P_Activate
2f2488b4 Akali_P_Activate_Mis
04699e57 Akali_P_Idle
15fb5671 Akali_P_Indicator_Circle_Activate
8821074a Akali_P_Indicator_Circle_Activate_Dust
870a7d55 Akali_P_Indicator_Circle_Activate_Snow
364f4805 Akali_P_Indicator_Circle_Activate_Water
1ca68451 Akali_P_Indicator_Circle_Expired
b5781807 Akali_P_Indicator_Circle_Self_Short
9ebaf66c Akali_P_Swipe_2
bf38fb4e Akali_P_Swipe_Melee
b7b0c148 Akali_P_Tar
a8cbb193 Akali_P_Tar_Close
ebdb41bf Akali_P_VFX_Mis
0af992ac Akali_P_VFX_Mis_Dummy
87449974 Akali_P_WeaponGlow
ef74cc69 Akali_Q_Cas
8d2779a9 Akali_Q_Kunai_Child
a79add6d Akali_Q_Kunai_Child_Snow
c1c4138d Akali_Q_Kunai_Child_Water
88bbd96e Akali_Q_Kunai_Snow
e579d814 Akali_Q_Kunai_Water
61f8f173 Akali_Q_Mis
a794ce17 Akali_Q_Tar
515cdf32 Akali_Q_heal
73f6dae2 Akali_Q_heal_mis
34967edc Akali_R_AfterImage
9de17094 Akali_R_Buff_Indicator
ac017fe4 Akali_R_Cas
15a89dd9 Akali_R_Cas_Dust
4f2a6436 Akali_R_Cas_Snow
252d872c Akali_R_Cas_Water
2d2d9de1 Akali_R_Dash1_Trail
39089170 Akali_R_Dash_Dust
36666fd7 Akali_R_Dash_Snow
cc1a9783 Akali_R_Dash_Water
f3e31136 Akali_R_Tar
c8379cdd Akali_R_Trail
3c19bb61 Akali_Recall
387256bd Akali_Recall_Fire_Breath
3cf01517 Akali_Recall_Smoke_Ground
04c093bb Akali_Recall_Smoke_Vanish
d694d8c5 Akali_Skin09_Recall_Mask_Show
998e14bf Akali_Skin09_Recall_Popstar_Cohesive
2f0accc6 Akali_Skin09_Recall_Smoke_Ground
0b86e21d Akali_Skin14_Idle_Glow
ae301a74 Akali_Skin14_Idle_Glow_Kama
8cb2c3dc Akali_Skin14_Idle_Hair_Glow
cadce5d9 Akali_Skin32_Recall_Akali_Darkening_Fresnel
863436c0 Akali_Skin61_Emote_Dance_Flourish
2ecaaf4f Akali_Skin61_Emote_Dance_Foot_Step
487fdb83 Akali_Skin61_Emote_Dance_Foot_Trail
6f4668e3 Akali_Skin61_Emote_Dance_Ground_Lake
60a399eb Akali_Skin61_Emote_Dance_In
af2b9a3a Akali_Skin61_Emote_Homeguard_Body_Trail
1ca69390 Akali_Skin61_Emote_Homeguard_Wings_Trail
27d8c968 Akali_Skin61_Emote_Joke_Pops
8868b7c8 Akali_Skin61_Emote_Joke_Umi_Eat
af46aef6 Akali_Skin61_Emote_Joke_Umi_Trail
bb6cde6e Akali_Skin61_Emote_Respawn_Hands_Trail
5c68806e Akali_Skin61_Emote_Taunt_Ground
6735a91a Akali_Skin61_Emote_Taunt_Umi
235be43f Akali_Skin61_Idle_Weapons_Glow
144af40f Akali_Skin61_Q_Kunai_Death_Child
ee7537c7 Akali_Skin61_Z_HUD_Shadow_Dissipate
b27f9400 Akali_Skin61_Z_HUD_Shadow_Main
0b2b7d5f Akali_Skin61_Z_Mesh_Swirl
c130953a Akali_Skin61_Z_Recall_Bracelet_Back
2b5b4764 Akali_Skin61_Z_Recall_Bracelet_Glow
22653933 Akali_Skin61_Z_Recall_Ground_Lake
e2f99aa0 Akali_Skin61_Z_Recall_Rigel_Trail
8747f770 Akali_Skin61_Z_Recall_Swirls
9f529966 Akali_Skin61_Z_Recall_Umi_Trail
e67d9d08 Akali_Skin61_Z_Recall_Wing_Burst_Swril
780e4f99 Akali_Skin61_Z_Recall_Wing_Open_Burst
0e6c8545 Akali_Skin61_Z_Recall_Wings_Feathers
714213b3 Akali_Skin71_Idle01
72421546 Akali_Skin71_Idle02
734216d9 Akali_Skin71_Idle03
7442186c Akali_Skin71_Idle04
754219ff Akali_Skin71_Idle05
58490ce5 Akali_Skin71_P_WeaponGlow01
9adb9bfe Akali_Skin71_Q_Kunai_Death_Child
ba8e0a1c Akali_Skin71_R_VFX_Mis01
1700cef1 Akali_Skin71_Recall_Smoke_01
8c2ef257 Akali_W_Cas
92d16e0b Akali_W_GlobalInvisibilityShimmerLong
a16aa5dd Akali_W_InvisibilityEnter
89246975 Akali_W_InvisibilityExit
cdce6fe3 Akali_W_Smoke
dba496f3 Akali_W_Smoke_Ring_Node
64bd6941 Alistar_BA_tar_01
72e72b7c Alistar_BA_tar_crit_01
2be3f945 Alistar_E_Meditate_01
1e41c909 Alistar_E_ShockwaveImpact
22998922 Alistar_E_StunImpact
e40ac806 Alistar_E_TrampleAOE
3865b244 Alistar_E_stack_1
3b65b6fd Alistar_E_stack_2
3a65b56a Alistar_E_stack_3
3565ad8b Alistar_E_stack_4
3465abf8 Alistar_E_stack_5
c6cd0510 Alistar_E_stack_break
9f76af19 Alistar_Idle_GearSmoke
bd78f4d8 Alistar_Idle_GearSmoke_Child
7fee7088 Alistar_Idle_GemGlows
0753952b Alistar_P_Heal_mis_01
70238b2b Alistar_P_Heal_tar
f0bef8e5 Alistar_Q_cas
3a8b9d8f Alistar_Q_cas_Child_Trail
d07e02de Alistar_R_Glow
bc19e6c0 Alistar_R_cas
97ca4fc5 Alistar_R_cas_child
59619ee9 Alistar_Recall_ChainSnapSparks
eb29e558 Alistar_Recall_Chain_GlowON
ebb74370 Alistar_Recall_ChairHit
a62efa10 Alistar_Recall_GearGlow
ea25b4af Alistar_Recall_GearSparks
c26b3658 Alistar_Recall_Glows
0f2d117e Alistar_Recall_GrabSparks
a80a0f61 Alistar_Recall_HandSparks
6dbb1eee Alistar_Recall_Powered
ad974f93 Alistar_Recall_PullSparks
